,Description,scores_overall
Cardiff Metropolitan University,"Cardiff Metropolitan University (Welsh: Prifysgol Metropolitan Caerdydd), formerly University of Wales Institute, Cardiff (UWIC), Prifysgol Athrofâu Cymru, Caerdydd (PACC) and commonly referred to as Cardiff Met, is a university located in the city of Cardiff. The university offers degree courses in a variety of disciplines. Study is available at undergraduate and postgraduate levels, full-time and part-time, and research opportunities are offered. In the 2021/22 academic year, the university has 11,500 students from over 140 countries studying on two campuses in Cardiff, and more than 10,000 at 17 partner institutions in 15 countries around the world. In November 2021, Cardiff Met was awarded the title of UK and Ireland University of the Year 2021 by the Times Higher Education. In September 2020 Cardiff Met was named the Times and Sunday Times Welsh University of the Year. Cardiff Met was deemed to be the most financially sustainable university in Wales by the Wales Governance Centre in 2020",25.5
Cardiff University,"Cardiff University (Welsh: Prifysgol Caerdydd) is a public research university in Cardiff, Wales. It was established in 1883 as the University College of South Wales and Monmouthshire and became a founding college of the University of Wales in 1893. It merged with the University of Wales Institute of Science and Technology (UWIST) in 1988 as the University of Wales College, Cardiff (University of Wales, Cardiff, from 1996). In 1997 it received degree-awarding powers, but held them in abeyance. It adopted the operating name of Cardiff University in 1999; this became its legal name in 2005, when it became an independent university awarding its own degrees. Cardiff University is the only Welsh member of the Russell Group of research-intensive British universities. Academics and alumni of the university have included three heads of state or government, two Nobel Prize winners, 15 fellows of the Royal Society, 11 fellows of the Royal Academy of Engineering, seven fellows of the British Academy, 21 fellows of the Academy of Medical Sciences and 34 fellows of the Academy of Social Sciences.",59.3
Carleton University,"Carleton University is an English-language public research university in Ottawa, Ontario, Canada. Founded in 1942 as Carleton College, the institution originally operated as a private, non-denominational evening college to serve returning World War II veterans. Carleton was chartered as a university by the provincial government in 1952 through The Carleton University Act, which was then amended in 1957, giving the institution its current name. The university is named for the now-dissolved Carleton County, which included the city of Ottawa at the time the university was founded. Carleton County, in turn, was named in honour of Guy Carleton, 1st Baron Dorchester, who was Governor General of The Canadas from 1786 to 1796. The university moved to its current campus in 1959, growing rapidly in size during the 1960s as the Ontario government increased support for post-secondary institutions and expanded access to higher education. Carleton offers a diverse range of academic programs, and is organized into six faculties and more than 65 degree programs. It has several specialized institutions well-regarded in their fields, including the Arthur Kroeger College of Public Affairs, the Norman Paterson School of International Affairs, the Carleton School of Journalism, the School of Public Policy and Administration, and the Sprott School of Business. As of 2021, Carleton yearly enrolls more than 27,000 undergraduate and 4,000 graduate students. Carleton has a 150-acre campus located west of Old Ottawa South, close to The Glebe and Confederation Heights. It is bounded to the North by the Rideau Canal and Dow's Lake and to the South by the Rideau River. Carleton has more than 165,000 alumni worldwide, and is affiliated with 7 Rhodes Scholars, 53 Royal Society Fellows and members, 2 Pulitzer Prize winners, 8 Killam Prize recipients, 3 Nobel laureates, and several Emmy winners. Carleton is also home to 28 Canada Research Chairs, 1 Canada 150 Chair, 13 IEEE Fellows and 10 3M National Teaching Award winners. Carleton competes in the U Sports league as the Carleton Ravens. The Carleton Ravens are nationally renowned for their men's basketball team; a team which has won 16 of 19 national championships since 2003.",43.599999999999994
Prague University of Economics and Business,"The Prague University of Economics and Business (PUEB) (originally: the University of Economics, Prague; Czech: Vysoká škola ekonomická v Praze, VŠE) is a triple crown accredited economics and business-oriented public university located in Prague, Czech Republic. It is the largest university in the field of economics, business and information technology in the Czech Republic, with 14,000 students across its bachelor, master, doctoral and MBA programs. It is considered the best business school in the Czech Republic and one of the best in Central and Eastern Europe. It is also a part of the CEMS global alliance.",16.2
Qassim University,"Qassim University is a major public university in Saudi Arabia. The main campus of Qassim University covers about eight square kilometers in the heart of the region. Qassim University has over 38 Colleges, offering over 30 PhD, 70 master's, 120 Bachelor's and diploma degrees. Qassim University hasover 50,000 students. 6000 Faculty and staff members. During 2016/2017 academic year, 7019 male and 9692 female students were newly enrolled at Qassim University. Qassim University is among the top 7 Saudi universities. In 2015, QS ranked Qassim University as 46 among Arab Region Rankings. Colleges at Qassim University include Sharia College; the College of Arabic Language and Social Sciences; the College of Agricultural and Veterinary Sciences; a College of Economics; a College of Science; a College of Medicine; a College of Engineering; a College of Computer; a College of Applied Medical Sciences; a College of Dentistry and a College of Pharmacy. There is also a Science College in Al-Zilfi, community colleges.",34.8
Qom University of Medical Sciences,"The Qom University of Medical Sciences, (Persian: دانشگاه علوم پزشکی قم, Danushgah-e 'lum Pezeshki-ye Qâm) in Qom, Iran.",34.8
Queen Mary University of London,"Queen Mary University of London (QMUL, or informally QM, and previously Queen Mary and Westfield College) is a public research university in Mile End, East London, England. It is a member institution of the federal University of London. Teaching in Mile End began as a philanthropic endeavor under the auspices of the East London College in the 1880s. Renamed Queen Mary College, after Mary of Teck, the College was admitted to the University of London in 1915. In 1989 the College merged with Westfield College, a teacher training college, to form Queen Mary and Westfield College. In 1995 Queen Mary and Westfield College merged with St Bartholomew's Hospital Medical College and The London Hospital Medical College to form the School of Medicine and Dentistry (informally known as Barts). Medical students had been informally educated at St Bartholomew's since its foundation as a priory and hospital in 1123, while The London Hospital Medical College had as England's first medical school, formally trained doctors since its inception in 1785. Taken together, these two historic institutions form the present university's earliest foundations. In 2000, Queen Mary and Westfield College rebranded as Queen Mary University of London, and in 2008 the Privy Council granted Queen Mary the authority to award university degrees in its own name; previously degrees had been awarded through the University of London. In 2012 Queen Mary joined the Russell Group of leading British research universities. The following year, the university legally changed its name from Queen Mary and Westfield College, University of London to Queen Mary University of London. Today, Queen Mary has five campuses across East and Central London in Mile End, Whitechapel, Charterhouse Square, Lincoln's Inn Fields and West Smithfield, as well as an international presence in China, France, Greece and Malta. The Mile End campus is the largest self-contained campus of any London-based university. In 2018/19 the university had around 26,000 students. Queen Mary is organised into three faculties – the Faculty of Humanities and Social Sciences, the Faculty of Science and Engineering, and Barts and The London School of Medicine and Dentistry. Queen Mary is a member of the Russell Group of British research universities, the Association of Commonwealth Universities and Universities UK. Queen Mary is a major centre for medical teaching and research and is part of UCLPartners, the world's largest academic health science centre. Queen Mary runs programmes at the University of London Institute in Paris, taking over the functions provided by Royal Holloway. Queen Mary also collaborates with University of London to offer its Global MBA program. For 2020–21, Queen Mary had a turnover of £512.5 million, including £114.7 million from research grants and contracts. Queen Mary has produced many notable alumni in various fields of work and study around the world with several alumni having become notable leaders in their respective fields including politics, as heads of state, science, academia, law, history, business, technology, and diplomacy. There are nine Nobel Laureates amongst Queen Mary's alumni, current and former staff. Notable alumni include Ronald Ross, who discovered the origin and cure for malaria, Davidson Nicol, who discovered the breakdown of insulin in the human body, British politician Peter Hain, and Professor Andrew Pollard, the chief investigator of the Oxford–AstraZeneca COVID-19 vaccine.",63.1
Queensland University of Technology,"Queensland University of Technology (QUT) is a public research university located in the urban coastal city of Brisbane, Queensland, Australia. QUT is located on two campuses in the Brisbane area viz. Gardens Point and Kelvin Grove. The university in its current form was founded in 1989, when the Queensland Institute of Technology (QIT) was made a university through the Queensland University of Technology Act 1988, with the resulting Queensland University of Technology beginning its operations from January 1989. In 1990, the Brisbane College of Advanced Education merged with QUT. In 2020, QUT has 52,672 students enrolled (composed of 39,156 undergraduate students, 10,390 postgraduate students, and 661 non-award students), employs 5,049 full-time equivalent (FTE) staff members, a total revenue of $1.054 billion, and a total expenditure of $1.028 billion. QUT was a member of the Australian Technology Network of universities, but withdrew participation on 28 September 2018.",58.7
Roskilde University,"Roskilde University (Danish: Roskilde Universitet, abbreviated RUC or RU) is a Danish public university founded in 1972 and located in Trekroner in the Eastern part of Roskilde. The university awards bachelor's degrees, master's degrees, and PhD degrees in a wide variety of subjects within social sciences, the humanities, and natural sciences.",39.4
Rowan University,"Rowan University is a public research university in Glassboro, New Jersey with a medical campus in Stratford and medical and academic campuses in Camden. It was founded in 1923 as Glassboro Normal School on a 25-acre (10 ha) site donated by 107 residents. The university includes 14 colleges and schools with a total enrollment (undergraduate, graduate, and professional studies) of just over 19,600 students. Rowan offers 85 bachelor's, 46 master's degrees, six doctoral degrees, and two professional degrees. It is classified among ""R2: Doctoral Universities – High research activity"".",30.450000000000003
"Royal Holloway, University of London","Royal Holloway, University of London (RHUL), formally incorporated as Royal Holloway and Bedford New College, is a public research university and a constituent college of the federal University of London. It has six schools, 21 academic departments and approximately 10,500 undergraduate and postgraduate students from over 100 countries. The campus is located west of Egham, Surrey, 19 miles (31 km) from central London. The Egham campus was founded in 1879 by the Victorian entrepreneur and philanthropist Thomas Holloway. Royal Holloway College was officially opened in 1886 by Queen Victoria as an all-women college. It became a member of the University of London in 1900. In 1945, the college admitted male postgraduate students, and in 1965, around 100 of the first male undergraduates. In 1985, Royal Holloway merged with Bedford College (another former all-women's college in London). The merged college was named Royal Holloway and Bedford New College (RHBNC), this remaining the official registered name of the college by Act of Parliament. The campus is dominated by the Founder's Building, a Grade I listed red-brick building modelled on the Château de Chambord of the Loire Valley, France. The annual income of the institution for 2020–21 was £189.9 million of which £18.8 million was from research grants and contracts, with an expenditure of £179.2 million. Royal Holloway maintains strong links and exchange programmes with institutions in the United States, Canada, Australia, and Hong Kong, notably the University of California & Yale University, the University of Toronto, the University of Melbourne and the University of Hong Kong. Royal Holloway was a member of the 1994 Group until 2013, when the group dissolved.",52.05
Royal Veterinary College,"The Royal Veterinary College (informally the RVC) is a veterinary school located in London and a member institution of the federal University of London. The RVC was founded in 1791 and joined the University of London in 1949. It is the oldest and largest Veterinary school in the United Kingdom, and one of only nine in the country where students can study to become a vet.",47.2
Samara State Technical University,"Samara State Technical University (Samara Polytech) - Is a higher educational institution in Samara, Russia.",16.2
Sapienza University of Rome,"The Sapienza University of Rome (Italian: Sapienza – Università di Roma), also called simply Sapienza or the University of Rome, and formally the Università degli Studi di Roma ""La Sapienza"", is a public research university located in Rome, Italy. It is one of the largest European universities by enrollments and one of the oldest in history, founded in 1303. The university is one of the most prestigious Italian universities and in the world, commonly ranking first in national rankings and in Southern Europe. In 2018, 2019, 2021 and 2022 it ranked first in the world for classics and ancient history. Most of the Italian ruling class studied at the Sapienza. The Sapienza has educated numerous notable alumni, including many Nobel laureates, Presidents of the European Parliament and European Commissioners, heads of several nations, notable religious figures, scientists and astronauts. In September 2018, it was included in the top 100 of the QS World University Rankings Graduate Employability Ranking and on 2022 it was ranked best Italian University according to ARWU.",60.0
Saratov State Medical University,"The Saratov State Medical University (SSMU) (рус. Саратовский государственный медицинский университет им. В. И. Разумовского; Saratov State Medical University named after V.I. Razumovsky; Razumovsky University) is a public university located in Saratov, Saratov Oblast, Russia.",16.2
Savitribai Phule Pune University,"Savitribai Phule Pune University (SPPU), formerly the University of Poona, is a collegiate public state university located in the city of Pune, India. It was established in 1949, and is spread over a 411 acres (1.66 km2) campus in the neighbourhood of Ganeshkhind. The university houses 46 academic departments. It has about 307 recognized research institutes and 612 affiliated colleges offering graduate and under-graduate courses. Savitribai Phule Pune University Ranked 12th NIRF Ranking in 2022",34.8
Sciences Po,"The Paris Institute of Political Studies (French: Institut d'études politiques de Paris, commonly known as Sciences Po [sjɑ̃s po] or Sciences Po Paris), is a public research university, with the status of grande école and grand établissement, located in Paris, France, with further campuses in Dijon, Le Havre, Menton, Nancy, Poitiers and Reims. Sciences Po offers courses and conducting research in political science, history, economics, law, and sociology. The institute was established in 1872 by Émile Boutmy as the École libre des sciences politiques, a private and independent institution of higher education, founded in the aftermath of the Franco-Prussian War with the stated objective of renewing the training of the political elites and thereby contributing to ameliorating the nation's fortunes after its defeat of 1870. Boutmy aimed at modernising education for French civil servants, by offering additional teachings in political sciences, a relatively new field of study at the time. Students would follow traditional courses as a primary education, usually the classics or the law at the Sorbonne. In 1945, the school was nationalised and re-established as a public institution, after criticism of the attitude of its staff during the Second World War and subsequent calls for its closure. After a reform in 1985, Sciences Po began offering full degrees in the social sciences as primary education for its students. Since the mid-1990s, Sciences Po’'s curriculum has been substantially reformed beyond in social sciences beyond political sciences. As of 2021, 80% of Sciences Po graduates choose careers in the private sector. The institute is a member of the Association of Professional Schools of International Affairs (APSIA) and CIVICA – The European University of Social Sciences.",43.599999999999994
Mashhad University of Medical Sciences,"Mashhad University of Medical Sciences (MUMS) is a medical school in Iran. Located in Razavi Khorasan province in the city of Mashhad, it was established in 1949 with Ferdowsi University of Mashad and separated in 1986 from its parent institution by national legislation. The university is currently ranked as one of the best in the Middle East. In 2001, its department of Medicine was ranked first among the Iranian universities. The latest rankings put Mashhad University in 3rd place nationally. MUMS has 8 faculties, operates 32 hospitals plus 179 rural and 147 urban health care centers. Its faculty include 600 teaching staff, 1700 physicians, 140 dentists, 130 pharmacists, and 25,402 staff employees. In 2001, 7,000 students were enrolled full-time.",39.4
National United University,"The National United University (NUU; Chinese: 國立聯合大學; Pe̍h-ōe-jī: Kok-li̍p Liân-ha̍p Tāi-ha̍k; Pha̍k-fa-sṳ: Kwet-li̍p Lîen-ha̍p Thài-ho̍k) is a public university in Miaoli City, Miaoli County, Taiwan.",16.2
Paris Nanterre University,"Paris Nanterre University (French: Université Paris Nanterre), formerly Paris-X and commonly referred to as Nanterre, is a public research university based in Nanterre, Paris, France. It is one of the most prestigious French universities, mainly in the areas of law, humanities, political science, social and natural sciences and economics. It is one of the thirteen successor universities of the University of Paris. The university is located in the western suburb of Nanterre, in La Défense area, the business district of Paris.",25.5
Beihang University,"Beihang University, previously known as Beijing University of Aeronautics and Astronautics (Chinese: 北京航空航天大学), abbreviated as BUAA or Beihang (Chinese: 北航), is a national public research university located in Beijing, China, specializing in engineering, technology and the hard sciences. Beihang University is designated as an eminent key university ( literally a ""first-rate university"" of type-A ) by China's Ministry of Education. It is one of China's key universities subsidized by the Double First Class University Plan, Project 985 and Project 211 funding. Beihang was founded on October 25, 1952, with an areaof over 100 hectares. Together with Tsinghua University, Peking University, Beijing Institute of Technology and University of Chinese Academy of Sciences, it is widely considered to be one of the top engineering universities in Beijing, with an emphasis on aeronautical and astronautical engineering, but also covering diverse fields in the natural sciences, high technology, economics, management, the liberal arts, law, philosophy, foreign languages and education.",52.05
Beijing Institute of Technology,"Beijing Institute of Technology (abbreviated BIT; Simplified Chinese: 北京理工大学; Traditional Chinese: 北京理工大學; pinyin: Běijīng Lǐgōng Dàxué), is a national leading co-educational public university located in Beijing, China. It was established in 1940 in Yan'an, Shaanxi. It is a major research university under the supervision of the Ministry of Industry and Information Technology. BIT is a Chinese Ministry of Education Class A Double First Class University. As a member of Double First Class University Plan, Project 985 and Project 211 it is a leading multi discipline university given priority sponsorship from the Ministry of Education and the Beijing Municipal Government. BIT is ranked 201-300th in the WURI Global Top 100 Innovative Universities Ranking of 2021.",54.45
Beijing Normal University,"Beijing Normal University (BNU, Chinese: 北京师范大学), colloquially known as Beishida (北师大), is a public research university located in Beijing, China, with a strong emphasis on humanities and sciences. It is one of the oldest and most prestigious universities in China as part of Class A Double First Class University in the Double First Class University Plan and was designated by the Chinese Ministry of Education as a member of Project 985 and Project 211. ""Normal school"" refers to an institution that trained schoolteachers in the early 20th century. The title is preserved in the names of Chinese institutions after they developed into comprehensive universities. It also reflects BNU's heritage as a Faculty of Education member of the Imperial University of Peking which was established as China's first modern university. BNU ranked first among universities that originated as “normal schools”. The Faculty of Education is considered the best in China according to several widely cited international rankings, including the QS Rankings, the Academic Ranking of World Universities, and the U.S. News Rankings, and the URAP ranking. BNU is ranked 36th among the Global Top 100 Innovative Universities according to the World's Universities with Real Impacts (WURI) Ranking 2021.",60.2
Belarusian State University,"Belarusian State University (BSU) (Belarusian: Белару́скі дзяржа́ўны ўніверсітэ́т, Belarusian pronunciation: [bʲɛlaˈruskʲi d͡zʲarˈʒawnɨ wnʲivʲɛrsʲiˈtɛt]; Russian: Белору́сский госуда́рственный университе́т) is a university in Minsk, Belarus. It was founded on October 30, 1921. In 2021 it was ranked the #1,201 university in the world in the THE World University Rankings by Times Higher Education, #1,606 by Nature Index - Top Academic Institutions, and #1,784 in the URAP World Ranking - University Ranking by Academic Performance.",25.5
Ben-Gurion University of the Negev,"Ben-Gurion University of the Negev (BGU) (Hebrew: אוניברסיטת בן-גוריון בנגב, Universitat Ben-Guriyon baNegev) is a public research university in Beersheba, Israel. Ben-Gurion University of the Negev has five campuses: the Marcus Family Campus, Beer Sheva; the David Bergmann Campus, Beer Sheva; the David Tuviyahu Campus, Beer Sheva; the Sede Boqer Campus, and Eilat Campus. Ben-Gurion University has about 20,000 students. Some of its research institutes include the National Institute for Biotechnology in the Negev, the Ilse Katz Institute for Nanoscale Science and Technology, the Jacob Blaustein Institutes for Desert Research with the Albert Katz International School for Desert Studies, and the Ben-Gurion Research Institute for the Study of Israel and Zionism.",43.599999999999994
Bharathiar University,"Bharathiar University is a public state university in Coimbatore, Tamil Nadu, India. Named after Tamil poet Subramania Bharati, the university was established in February 1982 under the provision of Bharathiar University Act, 1981 (Act 1 of 1982) and was recognized by the University Grants Commission (UGC) in 1985. Bharathiar University celebrated its silver jubilee celebrations on 24 February 2007. The president of India, A. P. J. Abdul Kalam, and the chief minister of Tamil Nadu, Karunanidhi, were chief guests. Bharathiar University provides graduate, masters, M.Phil. and Ph.D. programs in various subjects. The university is known for its stringent Phd evaluation guidelines.",39.4
Bialystok University of Technology,"Bialystok University of Technology (Polish: Politechnika Białostocka) is the largest technical university in northeast Poland. The beginnings of Bialystok University of Technology date back to 1949, when the Private Evening College of Engineering of the Polish Federation of Engineering Associations FSNT-NOT was established in Bialystok. Today Bialystok University of Technology employs more than 620 academic educators and provides graduate courses for more than 7000 students at six faculties. Study plans at BUT are consulted with the biggest employers in the region, and the students complete their internships and work placements in partner firms as early as during studies. A great majority of BUT's graduates find jobs within the first year after graduation. Bialystok University of Technology cooperates with many academic centres all over the world and has over 500 active bilateral agreements in scientific and educational cooperation with foreign partners (more information IRO BUT). Bialystok University of Technology has continuously been developing its scientific and teaching infrastructure. The last years were an unprecedented investment period for Bialystok University of Technology. The university gained four new facilities: the Centre for Modern Education, the Research and Education Centre of the Faculty of Electrical Engineering, the INNO-EKO-TECH Innovative Research and Education Centre for Alternative Energy Sources, Energy-efficient Construction and Environmental Protection. University campus is located almost at the heart of the town.",16.2
"Birkbeck, University of London","Birkbeck, University of London (formally Birkbeck College, University of London), is a public research university, located in Bloomsbury, London, England, and a member institution of the federal University of London. Established in 1823 as the London Mechanics' Institute by its founder, Sir George Birkbeck, and its supporters, Jeremy Bentham, J. C. Hobhouse and Henry Brougham, Birkbeck is one of the few universities to specialise in evening higher education in the United Kingdom. Birkbeck's main building is based in the area of Bloomsbury in London Borough of Camden in Central London. Birkbeck offers over 200 undergraduate and postgraduate programmes that can be studied either part-time or full-time, though nearly all lectures are given in the evening. Birkbeck's academic activities are organised into five constituent faculties which are subdivided into nineteen departments. Birkbeck, being part of the University of London, shares the university's academic standards and awards University of London degrees. In common with the other University of London colleges, Birkbeck has also secured its own independent degree awarding powers, which were confirmed by the Privy Council in July 2012. The quality of degrees awarded by Birkbeck was confirmed by the UK Quality Assurance Agency following institutional audits in 2005 and 2010. Birkbeck is a member of academic organisations such as the Association of Commonwealth Universities and the European University Association. The university is also a member of the Screen Studies Group, London. The university's Centre for Brain Function and Development was awarded The Queen's Anniversary Prize for its brain research in 2005. Birkbeck's alumni include five Nobel laureates, numerous political leaders, members of the Parliament of the United Kingdom and a British prime minister.",52.05
Bowling Green State University,"Bowling Green State University (BGSU) is a public research university in Bowling Green, Ohio. The 1,338-acre (541.5 ha) main academic and residential campus is 15 miles (24 km) south of Toledo, Ohio. The university has nationally recognized programs and research facilities in the natural and social sciences, education, arts, business, health and wellness, humanities and applied technologies. The institution was granted a charter in 1910 as a normal school, specializing in teacher training and education, as part of the Lowry Normal School Bill that authorized two new normal schools in the state of Ohio. Over the university's history, it has developed from a small rural normal school into a comprehensive public research university. It is a part of University System of Ohio and classified among ""R2: Doctoral Universities – High research activity"". In 2019, Bowling Green offered over 200 undergraduate programs, as well as master's and doctoral degrees through eight academic colleges. BGSU had an on-campus residential student population of approximately 6,000 students and a total enrollment of over 19,000 students as of 2018. The university also maintains a satellite campus, known as BGSU Firelands, in Huron, Ohio, 60 miles (97 km) east of the main campus. Although the majority of students attend classes on BGSU's main campus, about 2,000 students attend classes at Firelands and about 600 additional students attend online. About 85% of Bowling Green's students are from Ohio. The university hosts an extensive student life program, with over 300 student organizations. Fielding athletic teams known as Bowling Green Falcons, the university competes at the NCAA Division I level (FBS for football) as a member of the Mid-American Conference in all sports except ice hockey, in which the university is a member of the Central Collegiate Hockey Association. The campus is home to annual events including the Dance Marathon (a student-organized philanthropy event) and State Fire School.",30.450000000000003
De Montfort University,"De Montfort University Leicester (DMU) is a public university in the city of Leicester, England. It was established in accordance with the Further and Higher Education Act in 1992 as a degree awarding body. The name De Montfort University was taken from Simon de Montfort, a 13th-century Earl of Leicester. De Montfort University has approximately 27,000 full and part-time students, 3,240 staff and an annual turnover in the region of £168 million. The university is organised into four faculties: Art, Design, and Humanities (ADH); Business and Law (BAL); Health and Life Sciences (H&LS); and Computing, Engineering and Media (CEM). It is a Sustainable Development Hub, focusing on Peace, Justice and Strong Institutions, an initiative by the United Nations launched in 2018. The Department of Education awarded university a Gold rating in the 2017 Teaching Excellence Framework. It is a member of the Association of Commonwealth Universities.",39.4
