,KL,KS,KS_p,MW,MW_p
net,0.08349550892522689,0.16,0.914993219397903,296.0,0.756210786448293
net.conv1,0.07533670345715135,0.28,0.2850421476958367,283.0,0.5736325973465684
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.07260060409495384,0.2,0.7102038997076623,304.0,0.8766397979361127
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.08374264370779332,0.12,0.995531553175167,298.0,0.7858888855282278
net.layer1.0.bn1,inf,0.04,1.0,314.0,0.9842072761898067
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.07358722532564786,0.16,0.914993219397903,287.0,0.6276258050283593
net.layer1.0.bn2,0.025194143543869823,0.08,0.999999734559995,317.0,0.9318867239095425
net.layer1.1,0.02548123023363029,0.16,0.914993219397903,300.0,0.8158858136061969
net.layer1.1.conv1,0.03871952305115736,0.12,0.995531553175167,320.0,0.8919636193705659
net.layer1.1.bn1,inf,0.04,1.0,324.0,0.7684496627905633
net.layer1.1.relu,0.035083639567921314,0.16,0.914993219397903,307.0,0.9227150779556011
net.layer1.1.conv2,0.05632004256452829,0.2,0.7102038997076623,292.0,0.6979738522659524
net.layer1.1.bn2,0.05209637614876696,0.12,0.995531553175167,317.0,0.9381104747669413
net.layer2,0.027442324286197327,0.08,0.999999734559995,313.0,1.0
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.018300976673017912,0.12,0.995531553175167,307.0,0.9227113781574736
net.layer2.0.bn1,0.014938088445056147,0.12,0.995531553175167,319.0,0.9073219836857066
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.034380379901689954,0.16,0.914993219397903,316.0,0.9535758296631719
net.layer2.0.bn2,0.013375576899788728,0.16,0.914993219397903,298.0,0.7858989168050492
net.layer2.0.downsample,0.01941467990746613,0.12,0.995531553175167,311.0,0.9845193652221002
net.layer2.0.downsample.0,0.02863260545169003,0.12,0.995531553175167,303.0,0.861373792455552
net.layer2.0.downsample.1,0.019893021088685098,0.12,0.995531553175167,299.0,0.8008578418954853
net.layer2.1,0.0220961209712058,0.12,0.995531553175167,303.0,0.8613704976722206
net.layer2.1.conv1,0.02148261212465825,0.12,0.995531553175167,298.0,0.7858989168050492
net.layer2.1.bn1,0.003965685504160337,0.08,0.999999734559995,316.0,0.9507887256614745
net.layer2.1.relu,0.026064021227556505,0.16,0.914993219397903,325.0,0.8158814720445766
net.layer2.1.conv2,0.027893005232883027,0.24,0.4754535018190584,275.0,0.4728155871746813
net.layer2.1.bn2,0.014382637515515379,0.08,0.999999734559995,312.0,1.0
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.013603774128872346,0.16,0.914993219397903,290.0,0.669471869266742
net.layer3.0.bn1,inf,0.16,0.914993219397903,340.0,0.589992731509798
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.06678155255084016,0.12,0.995531553175167,323.0,0.8461499183464102
net.layer3.0.bn2,0.08643366921658234,0.16,0.914993219397903,301.0,0.8309905299998261
net.layer3.0.downsample,0.04806059128408835,0.12,0.995531553175167,336.0,0.65540543793669
net.layer3.0.downsample.0,0.027435601238072965,0.08,0.999999734559995,311.0,0.9845189935536035
net.layer3.0.downsample.1,0.03747392167781936,0.12,0.995531553175167,315.0,0.9690453003117911
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.04135320963317817,0.12,0.995531553175167,319.0,0.9073197684781757
net.layer3.1.bn1,0.038461285234033755,0.08,0.999999734559995,316.5,0.9346394881667389
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,0.03119648334456866,0.12,0.995531553175167,324.0,0.8309905299998261
net.layer3.1.bn2,0.08883825583247955,0.12,0.995531553175167,304.0,0.8766368594328392
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.08979383714499697,0.16,0.914993219397903,306.0,0.9073219836857066
net.layer4.0.bn1,0.08351511373502984,0.08,0.999999734559995,310.0,0.9609099878682382
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,0.08131969711934688,0.12,0.995531553175167,316.0,0.9535802837746477
net.layer4.0.bn2,0.05940127793838665,0.04,1.0,313.5,0.9906525304584517
net.layer4.0.downsample,0.1055827347541116,0.24,0.4754535018190584,293.0,0.7123789295489698
net.layer4.0.downsample.0,0.10127991943367198,0.08,0.999999734559995,319.0,0.9073197684781757
net.layer4.0.downsample.1,0.10040181507625971,0.24,0.4754535018190584,277.0,0.497074660807861
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.07429303784286272,0.12,0.995531553175167,311.0,0.9845193652221002
net.layer4.1.bn1,0.014279637984998128,0.04,1.0,312.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,0.07769569920257888,0.12,0.995531553175167,306.0,0.9073219836857066
net.layer4.1.bn2,inf,0.08,0.999999734559995,314.0,0.9834524695900095
net.avgpool,0.08219800806637158,0.2,0.7102038997076623,290.0,0.669300022341919
net.fc,0.08311847649346536,0.16,0.914993219397903,301.0,0.8309625467949828
linear,0.08200011915678806,0.12,0.995531553175167,308.0,0.9381356914636003
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
