,KL,KS,KS_p,MW,MW_p
net,inf,0.12,0.995531553175167,313.0,1.0
net.conv1,0.0950344370012345,0.28,0.2850421476958367,350.0,0.47276243611201285
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.0731956573750903,0.2,0.7102038997076623,350.0,0.4727943286521854
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.06896250317323327,0.2,0.7102038997076623,352.0,0.4492011576637712
net.layer1.0.bn1,inf,0.08,0.999999734559995,316.0,0.9526453855388127
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.016877269400131966,0.2,0.7102038997076623,336.0,0.65540543793669
net.layer1.0.bn2,0.05183184273327263,0.08,0.999999734559995,309.0,0.9488878444064186
net.layer1.1,0.23376752243063434,0.28,0.2850421476958367,370.0,0.26869679356108545
net.layer1.1.conv1,0.06658081621357519,0.32,0.15576025200619348,372.0,0.252293823279353
net.layer1.1.bn1,0.029841278068615314,0.04,1.0,310.5,0.9690081743099715
net.layer1.1.relu,0.07400614866344866,0.16,0.914993219397903,341.0,0.5869281901781815
net.layer1.1.conv2,0.06054673978054415,0.16,0.914993219397903,331.0,0.7268754737288312
net.layer1.1.bn2,inf,0.08,0.999999734559995,319.0,0.9072332512926436
net.layer2,0.16837167821164542,0.2,0.7102038997076623,292.0,0.6979600617515462
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.05428812958353181,0.28,0.2850421476958367,367.0,0.29472881963155784
net.layer2.0.bn1,0.08576524361646735,0.2,0.7102038997076623,277.0,0.497074660807861
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.02125609446681008,0.2,0.7102038997076623,343.0,0.5604902638374452
net.layer2.0.bn2,0.031960351226597156,0.16,0.914993219397903,297.0,0.7710186241805638
net.layer2.0.downsample,0.018542988223362453,0.24,0.4754535018190584,341.0,0.5869281901781815
net.layer2.0.downsample.0,0.1246119735651035,0.28,0.2850421476958367,353.0,0.4376706762815611
net.layer2.0.downsample.1,0.06839040832606727,0.16,0.914993219397903,360.0,0.361803488317166
net.layer2.1,0.0402528347070126,0.2,0.7102038997076623,344.0,0.5475147688915105
net.layer2.1.conv1,0.03831736633311525,0.24,0.4754535018190584,364.0,0.3223963931070317
net.layer2.1.bn1,0.012144780395628172,0.08,0.999999734559995,309.0,0.9507887256614745
net.layer2.1.relu,0.045525388474320166,0.2,0.7102038997076623,318.0,0.9227113781574736
net.layer2.1.conv2,0.06282051500906913,0.36,0.07789836549197329,361.0,0.3516562439263766
net.layer2.1.bn2,0.06179655702041822,0.2,0.7102038997076623,279.0,0.5219814481957432
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.06242744797288426,0.2,0.7102038997076623,338.0,0.6276010193036379
net.layer3.0.bn1,0.03846897101103818,0.12,0.995531553175167,300.0,0.8128424716626799
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.08466733284625018,0.08,0.999999734559995,311.0,0.984519736863829
net.layer3.0.bn2,0.215568858268858,0.12,0.995531553175167,305.0,0.8919636193705659
net.layer3.0.downsample,0.06705780245277958,0.12,0.995531553175167,314.0,0.9845193652221002
net.layer3.0.downsample.0,0.08481504058002816,0.28,0.2850421476958367,361.0,0.3516446791709553
net.layer3.0.downsample.1,0.050120116648265794,0.16,0.914993219397903,325.0,0.8158901548607471
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.0987116404668418,0.08,0.999999734559995,312.0,1.0
net.layer3.1.bn1,0.06805032690977916,0.04,1.0,311.5,0.9906525304584517
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,0.06119358643319175,0.24,0.4754535018190584,275.0,0.4728155871746813
net.layer3.1.bn2,inf,0.12,0.995531553175167,312.0,1.0
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.10769423499154529,0.2,0.7102038997076623,288.0,0.6414528745894932
net.layer4.0.bn1,inf,0.04,1.0,321.0,0.8405052697379671
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,0.05069912266544971,0.08,0.999999734559995,310.0,0.9690453003117911
net.layer4.0.bn2,0.03654602862400433,0.04,1.0,312.5,1.0
net.layer4.0.downsample,0.09884500892912595,0.24,0.4754535018190584,335.0,0.6694644032225685
net.layer4.0.downsample.0,0.11617481385867574,0.12,0.995531553175167,324.0,0.8309865332499019
net.layer4.0.downsample.1,0.056345196487339134,0.16,0.914993219397903,318.0,0.9227132281229546
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.03387256065679169,0.16,0.914993219397903,301.0,0.8309905299998261
net.layer4.1.bn1,0.01915186321268923,0.04,1.0,312.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,0.04932025116684458,0.16,0.914993219397903,308.0,0.9381312436980305
net.layer4.1.bn2,0.04613242621432543,0.08,0.999999734559995,316.0,0.9507873990538342
net.avgpool,inf,0.16,0.914993219397903,309.0,0.9535724882380228
net.fc,inf,0.12,0.995531553175167,312.0,1.0
linear,0.04027806724091682,0.12,0.995531553175167,324.0,0.8309905299998261
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
