,layer,method,number,accuracy,maxdepth
0,model.edge_s2s,SAE,53,0.7142857142857143,1
1,model.node_s2s,baseline,41,0.7788944723618091,1
2,model.edge_s2s,baseline,26,0.8373493975903614,1
3,model.node_s2s,SAE,59,0.8306878306878307,1
4,model.node_s2s,SAE,177,0.824468085106383,1
5,model.blocks.2.activation,baseline,4,0.8958333333333334,1
6,model.blocks.2.activation,SAE,36,0.6580310880829016,1
7,model.edge_s2s,SAE,187,0.8541666666666666,1
8,model.blocks.1.activation,SOM,20,0.9005847953216374,1
9,model.edge_s2s,baseline,24,0.839572192513369,1
10,model.blocks.2.activation,SAE,13,0.9132653061224489,1
11,model.node_s2s,baseline,60,0.8391959798994975,1
12,model.node_s2s,SAE,89,0.8263157894736842,1
13,model.edge_s2s,baseline,18,0.815,1
14,model.blocks.0.activation,baseline,11,0.8102564102564103,1
15,model.blocks.0.activation,SAE,5,0.914572864321608,1
16,model.edge_s2s,SOM,6,0.9271523178807947,1
17,model.state_encoder.layers.1,SAE,9,0.844559585492228,1
18,model.node_s2s,baseline,58,0.7286432160804021,1
19,model.output_proj.layers.2,baseline,10,0.9187817258883249,1
20,model.blocks.1.activation,SOM,10,0.8662420382165605,1
21,model.state_encoder.layers.1,baseline,7,0.675531914893617,1
22,model.node_s2s,SAE,14,0.8542713567839196,1
23,model.blocks.2.activation,SOM,21,0.9440559440559441,1
24,model.node_s2s,SOM,10,0.9887005649717514,1
25,model.blocks.2.activation,SAE,10,0.9538461538461539,1
26,model.node_s2s,SAE,57,0.7837837837837838,1
27,model.edge_s2s,SAE,180,0.717948717948718,1
28,model.output_proj.layers.2,SOM,15,0.8592964824120602,1
29,model.blocks.1.activation,SAE,36,0.92,1
30,model.edge_s2s,baseline,41,0.6565656565656566,1
31,model.blocks.2.activation,baseline,9,0.8883248730964467,1
32,model.node_s2s,SAE,156,0.8253968253968254,1
33,model.node_s2s,SOM,0,1.0,1
34,model.edge_s2s,SAE,129,0.8497409326424871,1
35,model.blocks.2.activation,SOM,3,0.76,1
36,model.output_proj.layers.2,SOM,11,0.9408284023668639,1
37,model.blocks.0.activation,baseline,13,0.844559585492228,1
38,model.node_s2s,SAE,3,0.8272251308900523,1
39,model.node_s2s,SAE,130,0.8306878306878307,1
40,model.output_proj.layers.2,baseline,12,0.8686868686868687,1
41,model.node_s2s,SAE,160,0.8358974358974359,1
42,model.node_s2s,SAE,56,0.8704663212435233,1
43,model.state_encoder.layers.1,SOM,14,0.959731543624161,1
44,model.node_s2s,baseline,55,0.673469387755102,1
45,model.edge_s2s,baseline,23,0.8724489795918368,1
46,model.blocks.0.activation,baseline,4,0.8958333333333334,1
47,model.blocks.1.activation,SAE,39,0.8031088082901554,1
48,model.edge_s2s,SAE,69,0.7794871794871795,1
49,model.node_s2s,SAE,101,0.8087431693989071,1
50,model.node_s2s,baseline,9,0.7842105263157895,1
51,model.blocks.1.activation,baseline,10,0.9187817258883249,1
52,model.blocks.1.activation,SAE,32,0.8010471204188482,1
53,model.edge_s2s,baseline,1,0.7411167512690355,1
54,model.output_proj.layers.2,SAE,30,0.864321608040201,1
55,model.node_s2s,SOM,12,1.0,1
56,model.edge_s2s,SAE,114,0.84375,1
57,model.state_encoder.layers.1,SAE,12,0.9238578680203046,1
58,model.node_s2s,SAE,52,0.8191489361702128,1
59,model.edge_s2s,SOM,21,0.9375,1
60,model.node_s2s,SAE,145,0.8125,1
61,model.state_encoder.layers.1,SAE,2,0.7796610169491526,1
62,model.blocks.1.activation,SAE,41,0.8477157360406091,1
63,model.blocks.1.activation,SAE,11,0.8477157360406091,1
64,model.blocks.2.activation,SAE,32,0.9086294416243654,1
65,model.blocks.2.activation,baseline,15,0.8743718592964824,1
66,model.edge_s2s,SAE,178,0.841025641025641,1
67,model.node_s2s,SAE,187,0.8085106382978723,1
68,model.edge_s2s,SAE,32,0.7421052631578947,1
69,model.edge_s2s,baseline,6,0.7763157894736842,1
70,model.blocks.1.activation,baseline,7,0.675531914893617,1
71,model.node_s2s,SAE,152,0.8469387755102041,1
72,model.blocks.2.activation,SOM,15,0.9657534246575342,1
73,model.blocks.2.activation,SAE,41,0.7912087912087912,1
74,model.blocks.2.activation,SAE,11,0.9072164948453608,1
75,model.blocks.0.activation,SAE,33,0.9187817258883249,1
76,model.node_s2s,SAE,38,0.826530612244898,1
77,model.state_encoder.layers.1,baseline,14,0.676923076923077,1
78,model.blocks.2.activation,SAE,38,0.845360824742268,1
79,model.edge_s2s,SOM,13,0.9302325581395349,1
80,model.node_s2s,baseline,19,0.8434343434343434,1
81,model.edge_s2s,SAE,146,0.702020202020202,1
82,model.edge_s2s,SAE,143,0.8247422680412371,1
83,model.edge_s2s,baseline,40,0.7055837563451777,1
84,model.node_s2s,SOM,18,0.9858156028368794,1
85,model.edge_s2s,SAE,169,0.7578947368421053,1
86,model.blocks.1.activation,baseline,14,0.676923076923077,1
87,model.output_proj.layers.2,SAE,40,0.8385416666666666,1
88,model.blocks.0.activation,SAE,32,0.8484848484848485,1
89,model.blocks.1.activation,SOM,1,0.7814207650273224,1
90,model.node_s2s,SOM,21,0.9846153846153847,1
91,model.node_s2s,SAE,135,0.8216216216216217,1
92,model.blocks.2.activation,SAE,25,0.8542713567839196,1
93,model.state_encoder.layers.1,SAE,41,0.9086294416243654,1
94,model.output_proj.layers.2,SOM,20,0.855,1
95,model.edge_s2s,baseline,37,0.7878787878787878,1
96,model.edge_s2s,SOM,15,0.9226190476190477,1
