target,band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,5.889082,13.2692,0.0,6.091095,1.378093,-7.715624,0.9092109,0.0,1.0,1.0,0.0,2.0,18.0,16.0,3.0,0.0,3.392877,1.696438,0.01420532,-6.128179,238.8455
1,0.0,12.00814,14.54047,0.0,13.82124,2.037993,-33.3604,0.1900023,0.0,0.0,1.0,0.0,2.0,62.0,0.0,0.0,1.0,0.0427376,0.0213688,4.740673e-05,-6.044493,901.5091
1,0.0,5.969673,10.90662,0.0,6.762362,2.391109,-10.15895,2.332259,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,9.86e-05,9.86e-05,2.260095e-06,-4.317857,43.62648
1,0.0,11.3572,22.35759,0.0,5.049643,1.654705,-37.08263,1.654705,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,13.60627,13.60627,0.2028584,-9.318759,67.07277
1,0.0,10.26609,14.48402,0.0,9.283809,1.818772,-5.320041,1.034857,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0031242,0.0031242,5.392493e-05,-5.013041,57.93609
1,0.0,9.603669,14.63928,0.0,8.013702,1.142507,-6.610471,0.8074653,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0054273,0.0054273,9.268387e-05,-6.456971,58.55711
1,0.0,10.80536,18.80914,0.0,6.496424,1.5149,-6.630941,1.127574,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0239906,0.0239906,0.0004251585,-6.452941,56.42742
1,0.0,8.939079,11.57723,0.0,8.146742,2.3457,-16.4105,1.890622,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0589009,0.0589009,0.001271913,-4.090367,46.30892
1,0.0,7.554605,17.65876,0.0,2.975038,1.311347,-21.56616,1.012203,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0095595,0.0095595,0.0001804487,-6.37026,52.97627
1,0.0,5.223436,16.07972,0.0,4.306311,0.845551,-7.283956,0.6781759,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0043615,0.0043615,9.041408e-05,-7.283956,48.23917
1,0.0,10.19298,22.16274,0.0,10.04788,0.0,-48.30346,-0.738405,0.0,1.0,1.0,1.0,2.0,8.0,4.0,1.0,0.0,23.58504,5.89626,0.1330219,-48.30346,177.3019
1,0.0,7.383765,15.90153,0.0,8.52374,1.947322,-17.06538,1.046229,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0289762,0.0289762,0.0004555567,-4.4372,63.60614
1,0.0,10.24809,18.12982,0.0,5.488276,1.345084,-3.858187,0.972036,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0686475,0.0686475,0.001262147,-3.680187,54.38946
1,0.0,12.34611,17.89582,0.0,7.164991,1.511013,-5.996373,1.004198,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,6.92e-05,3.46e-05,9.667061e-07,-5.729373,71.58329
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,11.32903,15.76088,0.0,10.09373,0.7827496,-6.541394,0.7827496,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0021723,0.0021723,3.445716e-05,-6.446644,63.04351
1,0.0,9.180771,16.67782,0.0,6.260595,1.496778,-23.82911,0.5799695,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0330724,0.0330724,0.0006610055,-6.545747,50.03347
1,0.0,12.68009,13.49326,0.0,7.733912,1.615826,-7.009465,0.8665872,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.1010605,0.1010605,0.001872425,-6.855965,53.97306
1,0.0,10.2308,20.56821,0.0,3.327184,3.415863,-5.496299,2.918989,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0245788,0.0245788,0.0002389979,-5.496299,102.8411
