band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
2.3448,1.497021,17.74699,0.0,-1.662826,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.92e-05,6.4e-06,1.803122e-07,106.482,1,0.0,0.0,0.0,0.0
3.0949,1.336311,23.60796,0.0,-6.592859,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0022939,0.00114695,2.429159e-05,94.43185,1,0.00346568,-3.120189,0.00346568,-1.908013
0.0,2.361598,12.8314,0.0,-2.740534,0.0,1.0,1.0,0.0,2.0,8.0,3.0,8.0,1.0,1.999951,0.9999756,0.01948298,102.6512,1,0.2141495,-3.618754,0.2141495,-2.311428
1.3469,2.529561,12.52673,0.0,-4.7096979999999995,0.0,0.0,0.5,0.5,1.0,4.0,0.0,0.0,0.5,0.00026245,0.000131225,5.610085e-06,50.10692,1,0.0,-3.123655,0.0,-3.123655
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1.3241,1.900746,13.97747,0.0,-3.09072,0.0,1.0,0.0,0.0,1.0,24.0,16.0,3.0,0.0,2e-07,1.666667e-08,5.961974e-10,335.4594,1,0.561382,-5.399269,0.561382,-5.399269
2.4556,2.332535,13.52503,0.0,-2.678282,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,54.1001,1,0.0006206725,-3.123034,0.0006206725,-3.123034
0.0,3.191959,9.883457,0.0,-3.658692,0.0,1.0,1.0,0.0,1.0,8.0,8.0,5.0,1.0,8.0,2.0,0.1011792,79.06765,1,0.7766549,-2.347,0.7766549,-2.347
0.0,2.400922,11.06559,0.0,0.2670458,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.3e-06,1.3e-06,5.874063e-08,22.13119,1,0.119884,-5.840766,0.119884,-4.826805
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,1,0.005234995,-5.955416,0.005234995,-5.955416
0.1782,2.130136,10.70691,0.0,1.066227,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,1.000486,1.000486,0.02336075,42.82763,1,0.2390324,-4.81306,-0.6216315,-4.81306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,2.250871,15.2639,0.0,-1.357791,0.0,1.0,1.0,0.0,4.0,96.0,80.0,4.0,0.0,78.5105,19.62763,0.05357856,1465.334,1,0.9487343,-4.877399,-0.2087284,-4.304899
3.5892,1.854587,11.11049,0.0,1.00108,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,9.37e-05,2.3425e-05,1.054184e-06,88.88394,1,0.3211676,-9.329364,-1.091811,-8.467656
0.0,4.027296,18.14229,0.0,-0.1279838,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0002015,0.0002015,2.22133e-06,90.71143,1,0.6897979,-3.787977,-0.4105985,-3.375777
0.0,4.576206,19.01139,0.0,-0.1297555,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,0.0,1.997838,1.997838,0.02101728,95.05694,1,1.466254,-6.149088,-1.618481,-5.736888
0.0,4.378282,19.46602,0.0,1.369319,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,0.0,2.000508,2.000508,0.02055385,97.3301,1,1.443815,-6.248261,-1.684083,-5.836061
0.0,4.403044,19.50756,0.0,-0.1728113,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,0.0,2.00114,2.00114,0.02051656,97.53782,1,1.474403,-6.122359,-1.586287,-5.710159
0.3892,1.982164,15.42835,0.0,-0.08989901,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,1.0,0.0099984,0.0033328,4.320359e-05,231.4252,1,0.7990278,-7.551736,-1.028463,-6.075406
0.0,1.438416,36.76635,0.0,-3.019406,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,1.000805,1.000805,0.009073563,110.2991,1,1.31694,-6.795734,0.7936318,-3.934832
0.0,5.51292,19.56833,0.0,2.425062,0.0,1.0,1.0,0.0,4.0,10.0,1.0,1.0,0.0,7.126234,7.126234,0.03641718,195.6833,1,1.998676,-6.231239,-1.055574,-5.819039
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,1,0.005234995,-5.955416,0.005234995,-5.955416
1.3523,1.536784,17.28781,0.0,-2.743994,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.05784423,34.57562,1,0.0,-5.960651,0.0,-5.960651
1.6288,1.435252,18.51078,0.0,-2.025801,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.05402257,37.02156,1,0.0,0.0,0.0,0.0
5.377,3.042761,23.61465,0.0,-1.019031,1.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,3.77e-05,1.885e-05,1.596467e-07,236.1465,1,0.06417757,-10.63303,-0.806311,-4.262201
0.0044,2.701278,16.96178,0.0,-1.20107,0.0,1.0,0.0,0.0,3.0,48.0,4.0,9.0,0.0,8.791549,4.395774,0.01079824,814.1652,1,0.2184994,-7.695323,0.1646292,-3.829716
0.0,6.399227,20.37132,0.0,2.305606,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,2.96e-05,2.96e-05,2.906047e-07,101.8566,1,1.095172,-5.108779,-1.011096,-4.696579
0.0,12.11047,19.85705,0.0,10.3667,0.0,1.0,1.0,0.0,3.0,10.0,8.0,2.0,0.0,20.21569,10.10785,0.1018061,198.5705,1,0.01385015,-9.142411,-0.1332689,-44.7265
0.0808,2.322953,21.57272,0.0,-0.3648529,0.0,1.0,0.0,0.0,3.0,20.0,8.0,12.0,1.0,7.997504,1.999376,0.01853616,431.4543,1,0.4984735,-7.168005,-0.2485047,-3.968498
0.0,3.853398,20.09783,0.0,0.967425,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.3616125,0.3616125,0.003598522,100.4892,1,3.077492,-5.346456,-0.4122043,-4.934256
3.1825,1.840473,10.82854,0.0,-2.685122,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,3.45e-05,8.625e-06,2.65502e-07,129.9425,1,0.3788572,-4.190406,-0.77077,-3.807406
0.0,6.516002,20.04518,0.0,0.8247403,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.985634,1.985634,0.01981159,100.2259,1,0.6477329,-21.65177,-1.558731,-5.757086
2.6926,1.980614,15.59266,0.0,0.5114419,1.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0009817,0.000245425,3.934945e-06,249.4825,1,0.1925093,-4.51199,-1.096493,-4.16849
0.0,11.81114,10.96781,0.0,6.122047,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,1.0,0.4829655,0.2414827,0.003669567,131.6138,1,0.0,0.0,0.0,0.0
3.6499,2.554349,14.09999,0.0,-2.755617,0.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,281.9998,1,0.0,-4.795484,-0.4986731,-4.795484
0.0,3.475692,17.82285,0.0,-3.381569,0.0,1.0,1.0,0.0,3.0,37.0,12.0,13.0,1.0,12.05078,12.05078,0.0182741,659.4455,1,0.1744492,-9.774384,-0.7321024,-3.710473
2.4465,2.347678,15.99258,0.0,1.652878,1.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0026927,0.00134635,2.104648e-05,127.9407,1,0.2856695,-6.143011,-0.7335311,-3.920605
1.154,1.994951,19.21203,0.0,-2.480211,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,0.0008895,0.00044475,2.572174e-06,345.8165,1,0.4942442,-9.231554,-1.720435,-7.442725
5.4759,3.111404,16.44832,0.0,-1.299721,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,394.7597,1,0.0,-4.864546,-1.091525,-8.03754
0.0,2.088815,17.50299,0.0,-1.510258,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.999887,3.999887,0.04570518,87.51496,1,0.6109778,-3.959772,-0.4937952,-3.547572
2.4277,3.0415,17.35558,0.0,1.793951,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,1.66e-05,8.3e-06,6.831889e-08,242.9782,1,0.2175685,-8.288634,-0.9610429,-4.4575
2.6321,2.691467,14.25931,0.0,-2.081322,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,228.149,1,0.002994615,-4.497929,-0.6170787,-4.497929
5.5307,2.771885,18.51634,0.0,-1.1719,0.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0010446,0.0010446,4.701252e-06,222.1961,1,0.0,-4.87111,-1.092337,-4.41311
5.4658,3.293643,21.81589,0.0,-0.431206,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,4.85e-05,4.85e-05,4.446301e-07,109.0794,1,0.06744734,-10.62976,-0.8030412,-4.258931
1.3122,2.131555,16.00525,0.0,-0.5711585,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0014247,0.000356175,2.472626e-06,576.1891,1,0.2241625,-4.592329,-0.7649513,-4.210662
0.0,3.977995,18.29601,0.0,0.8583171,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0020351,0.00101755,1.390399e-05,146.3681,1,0.229534,-3.910039,-0.2610387,-3.829539
0.0,9.853576,11.87835,0.0,4.066481,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,0.1301919,0.1301919,0.001826739,71.27013,1,0.5564393,-22.4365,-1.154237,-9.3575
5.5614,2.603074,14.73039,0.0,-0.9700268,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,353.5295,1,0.0,-4.878499,-1.080339,-6.715198
2.5175,2.497464,15.36697,0.0,-2.010361,0.0,0.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,491.7431,1,0.0,-4.500924,-0.6200733,-4.500924
0.0,2.454863,12.6796,0.0,0.3080194,0.0,1.0,1.0,0.0,2.0,8.0,6.0,1.0,1.0,6.003905,3.001953,0.05918861,101.4368,1,0.6237565,-6.23455,-1.583959,-5.7193
5.7447,2.557131,11.51469,0.0,-0.2745027,0.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,276.3525,1,0.0,-4.9329,-1.005147,-6.031296
0.0,5.661577,14.0717,0.0,0.9972657,0.0,1.0,1.0,0.0,3.0,5.0,3.0,2.0,1.0,2.185399,2.185399,0.03106091,70.3585,1,0.1556028,-4.97497,-0.771529,-4.56277
2.3095,2.281792,19.38505,0.0,1.300045,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0001561,7.805e-05,1.006575e-06,155.0804,1,0.3384578,-4.254842,-1.033733,-3.911342
