band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,15.27423,13.62209,0.0,7.401616,0.1132522,-36.35213,-0.9146624,0.31,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.07e-05,5.07e-05,1.240632e-06,-11.48716,0.707,40.86628,1
0.0,16.55345,18.15156,0.0,5.899469,0.2448808,-48.34695,0.2448808,0.084,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6129,-4.812,18.15156,1
0.0,14.96911,10.81326,0.0,8.951606,0.3289498,-29.89005,-1.029756,0.312,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.99e-05,2.99e-05,1.382562e-06,-10.94027,3.591,21.62652,1
0.0,7.98686,11.80917,0.0,7.703587,0.2051516,-18.5672,-0.9745496,0.0,0.0,0.0,1.0,0.0,2.0,59.0,0.0,0.0,1.0,0.1713632,0.1713632,0.0002459496,-10.10737,0.0,696.7411,1
0.0,8.191932,18.83251,0.0,5.092415,0.3201642,-24.41391,0.3201642,0.797,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1e-07,1e-07,5.309965e-09,-9.781141,0.814,18.83251,1
0.0,8.049661,11.86924,0.0,7.603821,0.1018027,-18.80168,-1.063092,0.0,0.0,0.0,1.0,0.0,2.0,29.0,0.0,0.0,1.0,0.0059869,0.0059869,1.739326e-05,-10.21643,0.0,344.208,1
0.0,8.045212,11.03348,0.0,7.950662,0.2043588,-17.97385,-1.042432,0.301,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0001019,0.0001019,4.617764e-06,-10.08224,1.953,22.06696,1
0.0,11.3572,22.35759,0.0,5.049643,1.654705,-37.08263,1.654705,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,13.60627,13.60627,0.2028584,-9.318759,0.0,67.07277,1
0.0,8.037976,12.20767,0.0,7.431766,0.06939946,-19.11038,-1.064297,0.284,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0028543,0.0028543,3.340172e-05,-10.26089,1.016,85.45369,1
0.0,7.951726,13.4699,0.0,6.485633,0.1358878,-20.0054,-0.889238,0.0,0.0,0.0,1.0,0.0,2.0,25.0,0.0,0.0,1.0,0.0190223,0.0190223,5.648834e-05,-10.23634,0.0,336.7474,1
0.0,13.47993,11.07308,0.0,7.847432,0.02146734,-28.37758,-1.311067,0.0,0.0,0.0,1.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.37758,0.0,243.6077,1
0.0,15.70005,23.08386,0.0,11.13855,0.548307,-67.21483,0.548307,0.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,2.76111,2.76111,0.02990304,-9.078842,0.0,92.33544,1
0.0,13.05684,11.21743,0.0,7.354921,0.0575822,-27.93703,-1.269137,0.248,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.93703,0.63,100.9569,1
0.0,14.80212,10.93525,0.0,8.113236,0.2424908,-29.97651,-1.116215,0.262,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,6.21e-05,3.105e-05,1.419721e-06,-11.02673,1.187,43.74099,1
0.0,13.46208,11.08776,0.0,6.894307,0.8536823,-27.54537,-0.4788523,0.0,0.0,0.0,1.0,0.0,2.0,22.0,0.0,0.0,1.0,0.0059213,0.00296065,2.427452e-05,-10.2134,0.0,243.9307,1
0.0,3.427464,21.02556,0.0,2.687765,0.5769645,-8.669941,0.3773052,0.0,0.0,1.0,1.0,0.0,2.0,25.0,6.0,25.0,1.0,0.0367597,0.0367597,6.993336e-05,-3.658842,0.0,525.639,1
0.0,7.998559,11.09783,0.0,7.534576,0.2058339,-17.97237,-1.040957,0.3,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0011407,0.000285175,1.284823e-05,-10.08077,0.461,88.78266,1
0.0,14.18233,11.41314,0.0,8.123259,0.0,-30.219,-1.358706,0.253,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,2e-07,6.666667e-08,2.920611e-09,-30.219,0.098,68.47881,1
0.0,11.98989,13.50011,0.0,6.897526,0.4916976,-29.7273,-0.8670086,0.441,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0003422,0.0003422,1.267397e-05,-10.77752,0.002,27.00022,1
0.0,11.57422,25.23244,0.0,6.940311,0.5907158,-5.81894,0.4900347,0.432,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.09e-05,3.09e-05,4.082048e-07,-52.05178,-18.365,75.69731,1
0.0,14.96409,10.81689,0.0,8.035112,0.02064182,-30.19836,-1.338064,0.217,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.19836,0.12,21.63378,1
0.0,7.978523,11.1257,0.0,7.171152,0.1560613,-18.02214,-1.09073,0.271,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,7.2e-06,3.6e-06,1.617875e-07,-10.13054,1.445,44.50281,1
0.0,8.138718,10.90671,0.0,7.915392,0.04256885,-18.13564,-1.204222,0.243,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-18.13564,0.02,43.62686,1
0.0,15.68431,24.46037,0.0,13.15043,0.0,-76.85602,0.0,0.443,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.51e-05,1.51e-05,6.173251e-07,-76.85602,-13.534,24.46037,1
0.0,16.99084,21.67504,0.0,11.42461,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.187911,1.187911,0.01370137,0.0,0.0,86.70014,1
0.0,8.003658,11.09076,0.0,7.126922,0.0,-18.1782,-1.246791,0.226,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1782,0.175,22.18153,1
0.0,10.69531,11.69053,0.0,7.299626,0.4739233,-23.99738,-1.079437,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0159152,0.0159152,0.0002268959,-10.31639,0.0,70.14317,1
0.0,18.34786,21.38415,0.0,14.36298,0.2168953,-78.95364,0.2168953,0.34,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,1.982689,1.982689,0.02317942,-10.63033,16.91,85.53659,1
0.0,6.598442,13.45267,0.0,5.742481,0.3831427,-17.79506,-0.8636486,0.39,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0005024,0.0002512,9.336435e-06,-9.903458,0.955,53.81069,1
0.0,16.0687,20.84866,0.0,12.06847,0.3415145,-65.79853,0.3415145,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.2872577,0.1436289,0.001722279,-10.65237,0.0,166.7893,1
0.3741,7.205959,16.41998,0.0,5.971093,0.0,-5.823665,-0.669717,0.205,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.64443,0.285,98.51988,1
0.0,5.140392,33.36691,0.0,1.788733,1.73394,-20.97165,0.793462,0.374,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0006871,0.0006871,4.118452e-06,-4.180874,23.425,166.8345,1
0.0,13.53854,11.90562,0.0,7.468196,0.4065979,-29.44692,-1.160032,0.349,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0007411,0.0007411,1.037466e-05,-10.73784,3.227,71.4337,1
5.444,3.361416,19.13064,0.0,-1.1461,0.0002529683,-9.907528,-0.7251542,0.3,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.907528,1.229,459.1355,1
0.0,13.81097,11.72002,0.0,7.690137,0.451579,-29.76742,-0.9071271,0.284,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,5.8e-06,1.933333e-06,8.247993e-08,-10.81764,0.747,70.32014,1
0.0,12.4452,10.10403,0.0,7.637647,0.0,-24.47664,-1.391989,0.0,0.0,0.0,1.0,1.0,3.0,48.0,0.0,0.0,1.0,1e-07,1.666667e-08,2.061883e-10,-24.47664,0.0,484.9936,1
0.0,12.76225,10.08886,0.0,8.040726,0.04891428,-24.90626,-1.340301,0.0,0.0,0.0,1.0,0.0,3.0,96.0,0.0,0.0,1.0,0.0993126,0.0993126,0.0001025394,-10.09961,0.0,968.5308,1
0.0,4.964112,13.18029,0.0,7.073384,1.335525,-11.74069,0.2448111,3.959,0.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.8113852,0.8113852,0.01539012,-7.658295,160.923,52.72116,1
0.0,11.55498,10.25644,0.0,8.549657,0.0,-9.767326,-1.370799,0.205,0.0,0.0,1.0,1.0,3.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,-22.86767,0.007,246.1545,1
0.0,8.997583,10.76424,0.0,5.175549,0.7087316,-19.02005,-0.5559107,0.0,0.0,1.0,1.0,0.0,3.0,40.0,6.0,10.0,1.0,11.75692,11.75692,0.0273055,-8.21094,0.0,430.5697,1
0.0,7.277039,11.37982,0.0,6.929563,0.0,-17.40033,-1.178245,0.0,0.0,0.0,1.0,1.0,2.0,22.0,0.0,0.0,0.0,4.6e-06,2.3e-06,1.837383e-08,-17.40033,0.0,250.3561,1
0.0,5.17978,12.63151,0.0,7.736135,1.344308,-11.73191,0.2535944,0.259,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0663213,0.0663213,0.001312616,-7.649512,-4.972,50.52604,1
0.0,13.45292,15.12321,0.0,12.49177,0.0,-44.82013,-1.827745,0.324,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.45e-05,2.45e-05,8.10013e-07,-44.82013,1.036,30.24643,1
0.0,6.607182,18.95662,0.0,3.925486,0.7402784,-18.70132,0.7402784,-0.003,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.009441,0.009441,0.0001245079,-7.166332,-5.142,75.82649,1
0.0,8.450607,10.50418,0.0,8.196651,0.6403716,-17.53783,-0.6064196,0.228,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.26e-05,2.26e-05,1.075762e-06,-9.646229,2.536,21.00835,1
