band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
2.3448,1.497021,17.74699,0.0,-1.662826,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.92e-05,6.4e-06,1.803122e-07,106.482,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0949,1.336311,23.60796,0.0,-6.592859,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0022939,0.00114695,2.429159e-05,94.43185,1,0.00346568,-3.120189,0.00346568,-1.908013
2.4556,2.332535,13.52503,0.0,-2.678282,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,54.1001,1,0.0006206725,-3.123034,0.0006206725,-3.123034
1.3469,2.529561,12.52673,0.0,-4.7096979999999995,0.0,0.0,0.5,0.5,1.0,4.0,0.0,0.0,0.5,0.00026245,0.000131225,5.610085e-06,50.10692,1,0.0,-3.123655,0.0,-3.123655
0.0,2.977603,30.41788,0.0,-0.502253,0.0,1.0,1.0,0.0,4.0,82.0,12.0,1.0,0.0,11.59403,5.797015,0.004648272,2494.266,1,1.051495,-4.90476,-0.6228806,-4.90476
1.3241,1.900746,13.97747,0.0,-3.09072,0.0,1.0,0.0,0.0,1.0,24.0,16.0,3.0,0.0,2e-07,1.666667e-08,5.961974e-10,335.4594,1,0.561382,-5.399269,0.561382,-5.399269
0.0,3.511848,31.04001,0.0,2.789114,0.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,0.0,1.571549,1.571549,0.01012595,155.2001,1,0.786839,-18.83166,-2.919016,-7.912769
0.0,4.027296,18.14229,0.0,-0.1279838,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0002015,0.0002015,2.22133e-06,90.71143,1,0.6897979,-3.787977,-0.4105985,-3.375777
0.0,6.399227,20.37132,0.0,2.305606,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,2.96e-05,2.96e-05,2.906047e-07,101.8566,1,1.095172,-5.108779,-1.011096,-4.696579
0.0,5.469869,20.2017,0.0,1.389351,0.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0023648,0.0023648,1.170595e-05,202.017,1,0.0,0.0,0.0,0.0
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,1,0.005234995,-5.955416,0.005234995,-5.955416
0.3345,2.377901,13.98605,0.0,2.574853,1.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0008627,0.000215675,5.140241e-06,167.8326,1,0.6975146,-9.246659,-2.348303,-7.218749
