band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
2.3448,1.497021,17.74699,0.0,-1.662826,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.92e-05,6.4e-06,1.803122e-07,106.482,0.5862,-1.7586,1,0.0,0.0,0.0,0.0
0.1782,2.130136,10.70691,0.0,1.066227,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,1.000486,1.000486,0.02336075,42.82763,1.159,0.9808,1,0.2390324,-4.81306,-0.6216315,-4.81306
1.3469,2.529561,12.52673,0.0,-4.7096979999999995,0.0,0.0,0.5,0.5,1.0,4.0,0.0,0.0,0.5,0.00026245,0.000131225,5.610085e-06,50.10692,-3.2449,-5.9387,1,0.0,-3.123655,0.0,-3.123655
0.0,2.361598,12.8314,0.0,-2.740534,0.0,1.0,1.0,0.0,2.0,8.0,3.0,8.0,1.0,1.999951,0.9999756,0.01948298,102.6512,0.0,0.0,1,0.2141495,-3.618754,0.2141495,-2.311428
3.0949,1.336311,23.60796,0.0,-6.592859,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0022939,0.00114695,2.429159e-05,94.43185,-3.5739,-6.6688,1,0.00346568,-3.120189,0.00346568,-1.908013
0.6429,1.7197594999999999,15.794975,0.0,-0.1730855,0.0,1.0,0.5,0.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0551436,71.95636999999999,-1.3441,-2.6299,1,0.005234995,-5.955416,0.005234995,-5.955416
2.4556,2.332535,13.52503,0.0,-2.678282,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,54.1001,-2.6779,-5.1335,1,0.0006206725,-3.123034,0.0006206725,-3.123034
1.8189,2.713038,15.16305,0.0,0.8813418,1.0,1.0,0.0,0.0,3.0,12.0,1.0,1.0,0.0,1.000121,1.000121,0.005496479,181.9566,2.6022,0.7833,1,0.3119789,-5.520599,-1.131827,-5.246682
0.0,4.301357,18.03854,0.0,2.092871,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,144.3083,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,2.238046,9.630583,0.0,1.046206,0.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,1.0,1.999717,0.9998587,0.03460707,57.7835,0.0,0.0,1,0.08308098,-4.977851,-1.040035,-4.870518
1.4363,7.153648,12.93894,0.0,2.320989,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0003816,9.54e-05,1.843273e-06,207.023,3.6666,2.2303,1,0.6441062,-15.88996,-1.899507,-6.653424
1.3241,1.900746,13.97747,0.0,-3.09072,0.0,1.0,0.0,0.0,1.0,24.0,16.0,3.0,0.0,2e-07,1.666667e-08,5.961974e-10,335.4594,-1.8533,-3.1774,1,0.561382,-5.399269,0.561382,-5.399269
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,5.561951,14.34849,0.0,1.759552,0.0,1.0,1.0,0.0,2.0,8.0,5.0,6.0,1.0,2.009397,1.004699,0.0175053,114.7879,0.0,0.0,1,0.3356474,-13.83577,-2.010783,-6.816036
0.0,3.191959,9.883457,0.0,-3.658692,0.0,1.0,1.0,0.0,1.0,8.0,8.0,5.0,1.0,8.0,2.0,0.1011792,79.06765,0.0,0.0,1,0.7766549,-2.347,0.7766549,-2.347
0.0,2.400922,11.06559,0.0,0.2670458,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.3e-06,1.3e-06,5.874063e-08,22.13119,0.0,0.0,1,0.119884,-5.840766,0.119884,-4.826805
0.0,3.256335,15.80548,0.0,-1.57264,0.0,1.0,1.0,0.0,2.0,11.0,4.0,10.0,1.0,3.375255,3.375255,0.01941361,173.8603,0.0,0.0,1,0.4562689,-10.36118,-0.5249699,-6.180308
0.0,7.301666,13.96334,0.0,5.034776,0.0,1.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,3.000002,3.000002,0.0429697,69.8167,0.0,0.0,1,0.74251,-8.010662,-2.675608,-7.761462
0.0,1.977861,19.89683,0.0,0.08750993,0.0,1.0,1.0,0.0,2.0,12.0,8.0,1.0,1.0,3.999921,0.9999802,0.01675275,238.762,0.0,0.0,1,0.04510907,-4.610848,-0.932216,-4.503515
1.6379,2.000893,9.51911,0.0,0.8820346,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15288,2.3339,0.696,1,0.1427242,-4.935888,-1.505295,-4.703388
0.0,6.847742,17.33999,0.0,3.810499,0.0,1.0,1.0,0.0,2.0,20.0,3.0,5.0,1.0,2.514194,0.5028389,0.007249698,346.7999,0.0,0.0,1,0.7816361,-9.364367,-2.827316,-9.243617
0.0,3.396295,19.35098,0.0,1.03542,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0004339,0.0004339,4.484528e-06,96.7549,0.0,0.0,1,1.030653,-3.829854,-0.2954782,-3.417654
0.0,3.480772,16.76354,0.0,0.9058884,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.99994,1.99994,0.02386059,83.81772,0.0,0.0,1,0.4673127,-10.09743,-2.084246,-5.473965
0.0,6.006738,19.92988,0.0,1.523878,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0001921,0.0001921,1.927759e-06,99.6494,0.0,0.0,1,0.1803335,-6.215896,-2.224196,-5.803696
0.6064,2.11736,13.91808,0.0,0.1399494,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,1.000246,1.000246,0.01796668,55.6723,0.4973,-0.1091,1,0.08382628,-5.937905,-0.576372,-4.642381
0.0,2.326334,13.08363,0.0,0.7343725,0.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,0.0,1.999999,0.9999997,0.02547713,78.50177,0.0,0.0,1,0.0,-6.042092,-0.8802644,-6.042092
0.0,6.516002,20.04518,0.0,0.8247403,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.985634,1.985634,0.01981159,100.2259,0.0,0.0,1,0.6477329,-21.65177,-1.558731,-5.757086
0.0,2.168134,14.03829,0.0,0.7127525,0.0,1.0,1.0,0.0,2.0,12.0,8.0,1.0,0.0,3.999999,0.9999998,0.02374458,168.4595,0.0,0.0,1,0.01981278,-6.022279,-0.8604516,-4.525567
0.0,2.398781,16.40549,0.0,0.367788,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.02031841,49.21646,0.0,0.0,1,0.0,-4.655957,-0.977325,-6.92483
0.1538,4.789437,17.19313,0.0,-0.7257951,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,0.0,6.001003,3.000501,0.04362938,137.545,-0.6814,-0.8352,1,0.4271937,-13.82551,-1.921787,-6.361417
0.0,3.122513,10.63392,0.0,-3.073158,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,0.04701935,42.53568,0.0,0.0,1,0.2367733,-4.477892,-1.244106,-4.477892
0.1564,5.35925,16.02858,0.0,-0.4592765,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,0.0,6.000049,3.000025,0.04679181,128.2286,-0.3499,-0.5063,1,0.443372,-14.2783,-2.001202,-6.400201
0.0,3.977995,18.29601,0.0,0.8583171,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0020351,0.00101755,1.390399e-05,146.3681,0.0,0.0,1,0.229534,-3.910039,-0.2610387,-3.829539
0.0,2.977603,30.41788,0.0,-0.502253,0.0,1.0,1.0,0.0,4.0,82.0,12.0,1.0,0.0,11.59403,5.797015,0.004648272,2494.266,0.0,0.0,1,1.051495,-4.90476,-0.6228806,-4.90476
0.0,2.250871,15.2639,0.0,-1.357791,0.0,1.0,1.0,0.0,4.0,96.0,80.0,4.0,0.0,78.5105,19.62763,0.05357856,1465.334,0.0,0.0,1,0.9487343,-4.877399,-0.2087284,-4.304899
0.0,8.571467,10.50651,0.0,2.888006,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,3.000012,3.000012,0.07138462,42.02603,0.0,0.0,1,0.5641221,-15.20697,-1.956216,-6.308042
2.2063,9.06712,12.69991,0.0,1.777655,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0003464,0.0001732,4.545963e-06,76.19948,3.9323,1.726,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0924,2.303214,17.32004,0.0,-3.915806,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,554.2413,-3.8292,-3.9216,1,0.0,0.0,0.0,0.0
0.0,8.001218,10.92148,0.0,2.661154,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0792005,0.03960025,0.0009064765,87.37182,0.0,0.0,1,0.5089223,-14.41805,-1.952116,-6.344069
0.0,9.01599,10.26627,0.0,2.769167,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0520222,0.0260111,0.0006334115,82.13018,0.0,0.0,1,0.5651257,-15.96894,-1.978487,-6.337905
0.0,3.520504,20.65319,0.0,0.956827,0.0,1.0,1.0,0.0,2.0,20.0,12.0,1.0,0.0,3.999658,0.9999144,0.009682906,413.0638,0.0,0.0,1,0.05271234,-4.384831,-1.02126,-4.288231
0.2098,5.896364,15.15523,0.0,-0.3780429,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,6.000196,3.000098,0.04948949,121.2418,-0.3124,-0.5222,1,0.4580893,-14.98628,-2.03443,-6.414768
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.1889,5.701387,15.50395,0.0,-0.4464417,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,6.000821,3.000411,0.04838138,124.0316,-0.3786,-0.5675,1,0.4540093,-14.71219,-2.021369,-6.407879
