band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target,cbm,vbm
0.0,5.05809,14.82639,0.0,2.898831,0.4928737,-15.11904,-3.417212,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001184,5.92e-05,7.985759e-07,-8.621211,148.2639,1,0.0,0.0
0.0,7.827876,15.37946,0.0,2.692667,0.4376472,-24.25217,-3.31698,0.0,1.0,1.0,0.0,2.0,10.0,4.0,1.0,1.0,27.92519,13.9626,0.1815746,-11.64479,153.7946,1,0.0,0.0
0.0,7.786936,15.60322,0.0,2.529397,0.4803517,-19.49793,-3.430966,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001383,6.915e-05,8.863555e-07,-7.913551,156.0322,1,0.0,0.0
0.0,7.126677,16.2505,0.0,2.195962,0.4492388,-18.77869,-3.309131,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0001632,8.16e-05,1.004277e-06,-7.856725,162.505,1,0.0,0.0
3.2288,13.73253,9.269816,0.0,9.236815,1.184269,-25.16206,-2.898733,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,0.0028589,0.00142945,2.57008e-05,-8.200421,111.2378,1,12.2834,9.0546
3.1985,13.86956,9.224696,0.0,9.204095,1.166846,-25.3594,-2.922061,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,5.37e-05,2.685e-05,4.851108e-07,-8.220044,110.6964,1,12.2621,9.0636
3.2045,14.03404,9.149617,0.0,9.294322,1.162626,-25.57406,-2.937451,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,5.7e-06,2.85e-06,5.191474e-08,-8.217749,109.7954,1,12.3175,9.113
0.0,13.61653,9.097442,0.0,6.310573,3.143643,-17.16313,-0.7940182,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0029299,0.00146495,3.220576e-05,-5.26533,90.97442,1,0.0,0.0
0.0,4.250409,13.00456,0.0,-1.970828,0.052122,-9.953208,-3.217109,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,1.0,1.000002,1.000002,0.006408018,-5.386828,156.0548,1,0.0,0.0
5.5244,3.883572,22.33385,0.0,-2.584311,0.0,-4.320545,-2.874538,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-11.38328,44.6677,1,2.9353,-2.5891
0.0,11.37587,11.03124,0.0,4.500723,1.308044,-19.38149,-2.65256,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,7.7e-05,3.85e-05,6.980178e-07,-7.115163,110.3124,1,0.0,0.0
0.0,5.901097,12.56951,0.0,0.5843186,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,12.0,8.0,1.0,0.0,1.999948,0.9999742,0.01325926,0.0,150.8341,1,0.0,0.0
5.1422,5.172932,14.86314,0.0,2.029845,0.0,-7.615261,-3.291724,0.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,1e-07,1e-07,5.175427e-10,-14.31003,193.2208,1,7.0019,1.8597
6.2747,2.787183,17.30633,0.0,-1.663904,0.1030207,-7.385459,-2.8145,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.7e-06,1.7e-06,4.911496e-08,-4.112839,34.61267,1,4.2314,-2.0433
0.0,3.499413,12.34464,0.0,-2.079236,0.06970648,-8.030869,-3.161572,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,1.0,1.019718,1.019718,0.006883678,-8.030869,148.1357,1,0.0,0.0
5.4058,7.152807,11.81578,0.0,-1.156498,0.0,-15.63262,-4.103413,0.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.63262,354.4734,1,4.1582,-1.2476
5.691,6.153643,13.53022,0.0,-1.744295,0.0,-6.883629,-3.865156,0.0,0.0,0.0,1.0,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.56413,974.1755,1,3.9339,-1.7571
0.0,6.659323,14.77257,0.0,-0.1918704,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,16.0,10.0,4.0,1.0,4.001554,2.000777,0.01692983,0.0,236.3611,1,0.0,0.0
0.0,6.040663,16.52377,0.0,1.280009,0.2362226,-16.16123,-2.979436,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,0.9999566,0.9999566,0.01210325,-6.868624,82.61883,1,0.0,0.0
0.0,5.090591,16.03233,0.0,3.592797,0.3133602,-5.459423,-2.438786,0.0,1.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,3.999611,3.999611,0.0498943,-4.731023,80.16167,1,0.0,0.0
0.0,6.479843,17.64368,0.0,1.37385,0.1204427,-7.374826,-3.0921,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,0.9997735,0.9997735,0.01133293,-6.962626,88.21841,1,0.0,0.0
