target,band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.4556,2.332535,13.52503,0.0,-2.678282,0.0006206725,-3.123034,0.0006206725,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.123034,54.1001,-2.6779,-5.1335
1,1.3469,2.529561,12.52673,0.0,-4.7096979999999995,0.0,-3.123655,0.0,0.0,0.0,0.5,0.5,1.0,4.0,0.0,0.0,0.5,0.00026245,0.000131225,5.610085e-06,-3.123655,50.10692,-3.2449,-5.9387
1,3.0949,1.336311,23.60796,0.0,-6.592859,0.00346568,-3.120189,0.00346568,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0022939,0.00114695,2.429159e-05,-1.908013,94.43185,-3.5739,-6.6688
1,2.3448,1.497021,17.74699,0.0,-1.662826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.92e-05,6.4e-06,1.803122e-07,0.0,106.482,0.5862,-1.7586
1,5.0373,2.165992,27.06791,0.0,-2.850457,0.2823825,-6.209094,0.1642297,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0014817,0.00074085,9.12335e-06,-5.910761,162.4075,2.1282,-2.9091
1,0.0,1.975635,24.90683,0.0,-2.611403,1.227085,-4.984137,0.7853762,0.0,0.0,1.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0120727,0.003018175,8.078574e-06,-4.748404,1494.41,-2.5967,-2.5967
1,0.0,5.785633,14.79705,0.0,5.318026,0.7246294,-12.58336,0.4532254,0.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,0.0,2.395198,1.197599,0.02697832,-7.193375,88.78231,0.0,0.0
1,1.9919,2.754148,24.88477,0.0,-0.8233445,0.1726807,-6.344694,0.1726807,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0002259,5.6475e-05,3.242086e-07,-6.039265,696.7736,1.1143,-0.8776
1,0.0,2.361598,12.8314,0.0,-2.740534,0.2141495,-3.618754,0.2141495,0.0,1.0,1.0,0.0,2.0,8.0,3.0,8.0,1.0,1.999951,0.9999756,0.01948298,-2.311428,102.6512,0.0,0.0
1,0.0,9.473699,10.08526,0.0,8.52247,0.4969867,-16.77966,0.4969867,0.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,0.2408093,0.1204047,0.00596934,-8.127962,40.34102,0.0,0.0
1,0.0,1.378982,26.59113,0.0,-2.413755,1.318567,-5.655376,0.5850918,0.0,0.0,1.0,0.0,7.0,168.0,0.0,0.0,0.0,3.74447,0.4680588,0.0008381935,-5.43528,4467.31,-2.4962,-2.3988
1,0.0,8.038618,11.88571,0.0,6.566748,0.07916731,-17.19748,0.07916731,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0003072,0.0003072,1.292308e-05,-8.545781,23.77142,0.0,0.0
1,1.8778,3.505515,22.01885,0.0,0.796614,0.6339892,-11.08617,0.6339892,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0012684,7.9275e-05,1.800162e-06,-5.101714,704.6033,2.6673,0.7895
1,0.0,2.977603,30.41788,0.0,-0.502253,1.051495,-4.90476,-0.6228806,0.0,1.0,1.0,0.0,4.0,82.0,12.0,1.0,0.0,11.59403,5.797015,0.004648272,-4.90476,2494.266,0.0,0.0
1,0.0,3.191959,9.883457,0.0,-3.658692,0.7766549,-2.347,0.7766549,0.0,1.0,1.0,0.0,1.0,8.0,8.0,5.0,1.0,8.0,2.0,0.1011792,-2.347,79.06765,0.0,0.0
1,2.4224,2.0881369999999997,28.19314,0.0,-1.6887715,0.0,-6.152439,0.0,0.5,0.0,0.0,0.5,1.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,-6.152439,112.77255,0.66995,-1.75245
1,2.6476,0.9171351,64.19021,0.0,-4.297326,0.07299328,-6.079446,0.07299328,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.079446,1027.043,-1.7093,-4.3569
1,0.4997,1.388538,22.73637,0.0,-0.702272,0.5831708,-6.748209,0.3996622,0.0,0.0,0.0,0.0,4.0,68.0,0.0,0.0,0.0,0.0018039,0.000450975,1.166762e-06,-6.548562,1546.073,-0.2448,-0.7445
1,2.2517,2.441165,27.22229,0.0,-2.313535,0.9156892,-4.476025,0.4368863,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0086428,0.0021607,5.291497e-06,-4.237758,1633.337,-0.09,-2.3417
1,2.27,1.882049,24.85097,0.0,-2.227091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1491.058,0.0997,-2.1703
1,2.0291,1.387601,22.35966,0.0,-1.914536,1.051903,-4.923712,0.4349555,0.0,0.0,0.0,0.0,5.0,56.0,0.0,0.0,0.0,0.0118695,0.00593475,9.479365e-06,-4.667498,1252.141,0.1047,-1.9244
1,2.4224,2.0881369999999997,28.19314,0.0,-1.6887715,0.0,-6.152439,0.0,0.5,0.0,0.0,0.5,1.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,-6.152439,112.77255,0.66995,-1.75245
1,0.0,4.188806,31.67578,0.0,-1.245675,0.0,-13.15137,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-13.15137,31.67578,0.0,0.0
1,0.0,9.359107,10.37157,0.0,7.175597,0.6088918,-16.0236,0.6088918,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0007456,0.0003728,1.797221e-05,-7.06101,41.48628,0.0,0.0
1,3.8556,3.622302,59.55116,0.0,-0.5925949,0.0,-2.945141,-1.759093,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5e-07,5e-07,4.198071e-09,-26.60287,119.1023,3.0962,-0.7594
1,0.0,13.92962,12.17344,0.0,6.80545,0.4918621,-30.56513,0.4918621,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0010833,0.0010833,4.449439e-05,-9.109569,24.34689,0.0,0.0
1,0.3197,5.701061,20.4293,0.0,3.874307,1.462064,-5.145419,-0.9933163,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0002936,0.0002936,1.437152e-06,-5.029619,204.293,4.1941,3.8744
1,0.9135,3.3018915,22.153505,0.0,0.11616225,0.42148030000000003,-3.718093,-0.06909247,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0004927,0.00024635,2.59701338e-06,-3.374593,177.22805,0.96435,0.050850000000000006
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3241,1.900746,13.97747,0.0,-3.09072,0.561382,-5.399269,0.561382,0.0,1.0,0.0,0.0,1.0,24.0,16.0,3.0,0.0,2e-07,1.666667e-08,5.961974e-10,-5.399269,335.4594,-1.8533,-3.1774
1,3.775,3.510074,6.221578,0.0,9.020787,0.299664,-8.420208,0.299664,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,1.0,0.0008178,0.00020445,4.694491e-06,-8.213923,174.2042,12.6881,8.9131
1,1.8129,2.527162,37.8992,0.0,-1.395025,0.0006782575,-2.101628,-0.4008454,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.794628,151.5968,0.3535,-1.4594
