band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm,target
0.012,0.8575477,79.59712,0.0,-5.228359,1.17584,-9.564079,0.08631573,0.0,1.0,0.0,0.0,3.0,8.0,4.0,7.0,1.0,3.30086,3.30086,0.005183699,-4.328563,636.777,-5.2224,-5.2344,1
0.0,6.885332,28.04069,0.0,1.48378,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,28.0,4.0,1.0,0.0,23.54219,5.885548,0.02998473,0.0,785.1393,1.4675,1.4958,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.1812,1.140848,26.535,0.0,-3.796928,0.05356672,-3.38278,-0.7609282,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0016265,0.0016265,3.06482e-05,-3.07578,53.07,1.2923,-3.8889,1
0.8947,1.22355,20.81209,0.0,-2.632383,0.1793385,-6.584414,-0.5034789,0.0,1.0,0.0,0.0,2.0,18.0,18.0,2.0,0.0,5.998656,0.9997759,0.01601274,-6.126414,374.6176,-1.8528,-2.7475,1
0.0,1.538374,34.37739,0.0,-4.269457,0.2753736,-7.8373,-0.2479347,0.0,1.0,1.0,0.0,2.0,6.0,6.0,2.0,0.0,1.999917,0.9999584,0.009695891,-4.625731,206.2644,0.0,0.0,1
0.0,1.8941,27.92106,0.0,-3.676845,0.2787581,-7.833916,-0.2445503,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,0.9993888,0.9993888,0.01193112,-4.622347,83.76319,0.0,0.0,1
0.0,7.163038,17.90704,0.0,0.8263367,0.0,-3.860246,-0.3141996,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.39335,107.4422,0.0,0.0,1
1.5192,2.582691,46.44536,0.0,-2.06228,0.2523186,-14.5938,-0.5238089,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,7.6e-06,7.6e-06,8.181657e-08,-2.909691,92.89071,-0.6467,-2.1659,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.776409,27.29019,0.0,-2.287332,0.2572519,-4.555707,-0.3643036,0.0,1.0,1.0,0.0,4.0,36.0,20.0,4.0,1.0,20.35646,5.089115,0.02072017,-4.144707,982.4467,-2.3019,-2.2801,1
2.7939,3.256784,37.47377,0.0,-2.934289,0.0,-14.56345,-1.454805,1.0,0.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.56345,1498.951,-0.2134,-3.0073,1
2.7825,3.253926,37.50668,0.0,-2.732958,0.000323629,-14.56313,-1.454481,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.56313,750.1336,-0.0865,-2.869,1
2.4312,3.445588,15.2963,0.0,-2.151821,0.1688728,-8.422195,-0.3738168,1.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.422195,489.4817,0.2077,-2.2235,1
3.7619,2.49475,16.07933,0.0,-0.5043243,0.00615515,-4.47371,-0.5749921,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.398277,96.47597,3.1461,-0.6158,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.6458,2.884046,13.9089,0.0,0.6293674,0.0,-4.479866,-0.5811473,1.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.404432,166.9068,4.2184,0.5726,1
0.0,4.455822,22.70534,0.0,2.21483,0.1040255,-13.77262,-1.054137,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.02e-05,1.02e-05,8.98467e-08,-4.457844,113.5267,0.0,0.0,1
0.1423,1.836238,16.11585,0.0,-2.358278,0.0,-6.874987,-0.8783817,0.0,1.0,0.0,1.0,3.0,68.0,4.0,2.0,1.0,11.99709,2.999273,0.01094747,-6.291928,1095.878,-2.2455,-2.3878,1
2.9355,1.290693,23.45438,0.0,-3.40701,0.3282388,-3.108108,-0.4862562,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0005282,0.0005282,1.126016e-05,-2.801108,46.90876,-0.6702,-3.6057,1
0.0,4.57145,22.37328,0.0,2.226466,0.1141615,-13.78202,-1.060727,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,3.03e-05,3.03e-05,2.708588e-07,-4.462305,111.8664,0.0,0.0,1
0.6751,2.202026,11.63575,0.0,0.2413937,0.00762294,-6.524913,-0.6052171,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.935372,162.9004,0.7639,0.0888,1
0.0431,1.916923,15.64109,0.0,-2.344249,0.0,-6.634131,-0.7568549,0.0,1.0,0.0,1.0,3.0,68.0,4.0,2.0,1.0,7.999089,1.999772,0.007520809,-6.052837,1063.594,-2.3227,-2.3658,1
5.8162,1.509125,20.05958,0.0,-3.471717,0.0,-3.436347,-0.814495,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.129347,80.23831,2.3066,-3.5096,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.7689,3.235156,12.6008,0.0,-1.396591,0.0,-6.398032,-0.6831841,0.0,0.0,0.0,1.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.150227,504.0318,0.4527,-1.3162,1
3.4252,2.712588,13.20573,0.0,-1.789977,0.0,-6.638065,-0.9445449,1.0,0.0,0.0,1.0,3.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.25618,897.9894,1.7097,-1.7155,1
2.9329,3.503015,37.18833,0.0,-2.682379,0.0009764702,-14.08233,-0.7868355,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.08233,743.7666,0.2012,-2.7317,1
2.9647,3.595383,36.23294,0.0,-2.63283,0.0,-14.0833,-0.787812,1.0,0.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0833,1449.317,0.2275,-2.7372,1
3.6374,2.271226,20.08156,0.0,-1.179372,0.0,-4.302258,-1.095032,1.0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0048625,0.00243125,1.210688e-05,-4.020558,401.6313,2.3808,-1.2566,1
1.8564,3.782348,21.88267,0.0,0.9540784,0.0,-3.848452,-0.5560718,0.0,0.0,0.0,1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4581,700.2454,2.7765,0.9201,1
4.486,2.435929,27.57827,0.0,-2.860662,0.02264184,-8.60794,-0.3047,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0006689,0.000167225,3.031825e-06,-2.743747,220.6262,1.5442,-2.9418,1
4.0533,2.926451,25.78281,0.0,-1.533372,0.0,-8.362839,-1.291012,1.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.362839,154.6969,2.4682,-1.5851,1
2.1932,2.923455,20.68868,0.0,-1.361719,0.0,-4.095551,-0.9270947,1.0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0065098,0.0032549,1.573275e-05,-3.813851,413.7737,0.9137,-1.2795,1
3.3559,3.718368,34.54667,0.0,-2.399555,0.0,-13.74565,-1.021431,0.0,0.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.74565,552.7468,0.9064,-2.4495,1
3.2078,2.435894,31.08187,0.0,-2.527442,0.001268497,-9.169256,-0.9114883,0.0,0.0,0.0,0.0,2.0,44.0,0.0,0.0,0.0,2.06e-05,5.15e-06,1.506286e-08,-3.448571,1367.602,0.6344,-2.5734,1
0.0,7.446318,15.47687,0.0,2.361315,0.157375,-5.853732,-0.9952594,0.0,1.0,1.0,0.0,3.0,14.0,3.0,1.0,1.0,1.621315,0.8106575,0.007482665,-5.46116,216.6762,2.3539,2.3722,1
1.5362,10.34647,12.14842,0.0,2.252782,0.05597976,-21.7088,-0.5724641,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.7088,72.89053,3.697,2.1608,1
1.2545,2.410014,12.53142,0.0,-1.221969,0.0,-6.584007,-0.8814484,0.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.409439,250.6284,-0.0501,-1.3046,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.1539,2.130951,14.1725,0.0,-0.3196954,0.002019836,-6.581987,-0.8794285,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0007372,0.0007372,2.600812e-06,-6.101087,283.4499,-0.3197,-1.4736,1
1.2004,5.275376,22.72164,0.0,1.321169,0.004020032,-3.325369,-0.947541,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.45208,90.88656,2.5092,1.3088,1
