band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
6.6359,0.03756241,44.55848,0.0,-6.408735,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.02244242,89.11695,0.2268,-6.4091,1,0.0,0.0,0.0,0.0
1.3094,2.033232,22.93741,0.0,3.881036,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1055.121,5.16,3.8506,1,0.09184995,-8.681915,0.09184995,-8.681915
0.4398,2.193771,21.25886,0.0,5.211933,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,85.03542,5.6516,5.2118,1,0.1166332,-8.657131,0.1166332,-8.657131
1.3309,2.113073,22.07073,0.0,4.156917,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,507.6269,5.4469,4.116,1,0.1074774,-8.666287,0.1074774,-8.666287
0.0,3.119537,14.95,0.0,8.877914,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,1,0.2887398,-8.485025,0.2887398,-5.136578
0.0,2.142907,21.76346,0.0,5.231188,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0010976,0.0001372,6.304145e-06,174.1077,0.0,0.0,1,0.4151193,-8.358645,0.4151193,-5.010199
0.0,2.344581,19.89143,0.0,6.022059,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0001129,1.41125e-05,7.094764e-07,159.1314,0.0,0.0,1,0.4470353,-8.326729,0.4470353,-4.978283
0.0,2.08509,10.75072,0.0,5.36077,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0001105,0.0001105,6.852251e-07,161.2609,0.0,0.0,1,0.9580476,-6.913545,0.6535722,-5.823438
0.0,3.179527,14.66793,0.0,8.355106,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66793,0.0,0.0,1,0.3053007,-8.468464,0.3053007,-5.120017
0.5334,2.006071,23.24797,0.0,4.123417,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,790.4309,4.6059,4.0725,1,0.3931931,-8.380572,0.3931931,-8.380572
0.0,3.117831,14.95818,0.0,8.537912,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,59.83271,0.0,0.0,1,0.2956194,-8.478145,0.2956194,-5.129699
0.0,2.371398,8.715089,0.0,5.545698,0.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.001378,0.001378,1.216281e-05,113.2962,0.0,0.0,1,0.4114628,-6.166596,0.3173322,-6.127903
0.0,2.530928,18.42686,0.0,7.114775,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,4.08e-05,5.1e-06,2.767698e-07,147.4149,0.0,0.0,1,0.1600205,-8.613744,0.1600205,-5.265298
0.0,3.185952,16.14373,0.0,8.592911,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7e-07,3.5e-07,2.168024e-08,32.28746,0.0,0.0,1,0.1126302,-8.889446,0.1126302,-8.889446
0.0,3.097637,8.526578,0.0,9.220141,0.0,0.0,1.0,1.0,2.0,73.0,0.0,0.0,1.0,4e-07,4e-07,6.42632e-10,622.4402,0.0,0.0,1,0.0,-7.221912,-0.06909048,-7.221912
0.0961,2.129469,19.54464,0.0,4.450867,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0003915,9.7875e-05,1.251942e-06,312.7143,4.5232,4.4271,1,0.4487928,-8.763875,-0.6933889,-5.91063
0.0,3.192131,8.427815,0.0,9.750313,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1e-07,1e-07,3.955157e-09,25.28344,0.0,0.0,1,0.01683494,-7.192015,-0.05041312,-7.192015
0.6105,2.3128,20.16476,0.0,5.630198,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32953,6.227,5.6165,1,0.0,-8.773765,0.0,-8.773765
0.0,3.251664,15.81748,0.0,8.734647,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,31.63497,0.0,0.0,1,0.09351297,-8.908563,0.09351297,-5.31979
2.6454,3.589969,9.236959,0.0,4.531155,1.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,129.3174,7.1089,4.4635,1,0.0,-8.60714,-0.2091889,-8.60714
