band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,5.580786,13.91018,0.0,0.3293053,0.0,1.0,1.0,0.0,3.0,11.0,7.0,3.0,0.0,2.014563,2.014563,0.01316605,153.0119,1,0.0,0.0,0.0,0.0
0.0,6.688155,15.59314,0.0,3.589194,0.0,1.0,1.0,1.0,2.0,30.0,6.0,2.0,0.0,12.0,2.0,0.02565231,467.7942,1,0.0,-22.51724,-4.029909,-22.51724
0.0,7.15117,13.65881,0.0,3.122074,0.0,1.0,1.0,1.0,2.0,22.0,4.0,4.0,0.0,6.0,3.0,0.01996714,300.4938,1,0.0,-21.00716,-3.916525,-21.00716
0.0,6.852463,15.16938,0.0,3.197804,0.0,1.0,1.0,1.0,2.0,30.0,6.0,3.0,0.0,6.0,1.0,0.01318445,455.0814,1,0.0,-23.11662,-4.012859,-23.11662
0.1256,5.393771,17.08744,0.0,1.0646,1.0,1.0,0.0,0.0,2.0,24.0,4.0,1.0,0.0,4.003096,1.000774,0.009761306,410.0985,1,0.04509078,-19.65948,-3.732766,-6.924382
0.0,6.164121,14.95196,0.0,1.842695,0.0,1.0,1.0,0.0,2.0,24.0,4.0,1.0,0.0,3.999457,0.9998643,0.0111453,358.8471,1,0.07214456,-19.63243,-3.705712,-6.897328
0.0,9.134069,12.6647,0.0,1.01992,0.0,1.0,1.0,0.0,3.0,12.0,4.0,2.0,0.0,1.999995,0.9999974,0.01315991,151.9763,1,0.0,0.0,0.0,0.0
0.0,6.105076,12.61228,0.0,-0.3575402,0.0,1.0,1.0,0.0,3.0,10.0,6.0,1.0,0.0,1.998505,0.9992524,0.01584571,126.1228,1,0.0,0.0,0.0,0.0
6.529,6.155519,16.61919,0.0,-1.535228,0.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5756,1,0.0,-21.62096,-4.426985,-21.62096
0.0,4.106961,20.40145,0.0,2.063102,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0135469,0.0135469,0.0003320083,40.80289,1,0.8105842,-7.353164,0.5157148,-7.353164
0.011,6.928663,15.2488,0.0,3.910912,1.0,1.0,0.0,1.0,3.0,64.0,12.0,1.0,0.0,23.99905,11.99952,0.02459112,975.9234,1,0.0,-7.556185,-3.917617,-7.195247
0.0,6.567671,26.94537,0.0,3.305377,0.0,1.0,1.0,0.0,2.0,15.0,2.0,10.0,1.0,0.6236447,0.1247289,0.001542986,404.1805,1,0.1990676,-22.65081,-1.787639,-5.405936
0.0,6.799875,13.86339,0.0,0.4644731,0.0,1.0,1.0,0.0,3.0,32.0,4.0,5.0,0.0,4.000931,1.000233,0.009018651,443.6285,1,0.0,0.0,0.0,0.0
6.0978,2.568677,16.47675,0.0,-3.614425,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,65.90701,1,0.0002510338,-9.411758,-4.219396,-9.411758
2.4746,5.750991,15.88173,0.0,-1.394427,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,285.8712,1,0.02459415,-7.639521,-3.657923,-19.8551
0.0,8.933639,12.94883,0.0,0.8534303,0.0,1.0,1.0,0.0,3.0,12.0,4.0,2.0,0.0,1.999304,0.9996522,0.0128667,155.386,1,0.0,0.0,0.0,0.0
6.0767,2.513415,16.83903,0.0,-3.60723,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.4e-06,2.4e-06,3.563151e-08,67.35611,1,0.00195583,-9.410054,-4.217691,-6.966702
0.0,4.668879,32.46085,0.0,3.553535,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.999997,4.999997,0.07701581,64.9217,1,0.0,-20.66175,-0.6114688,-20.66175
0.0,5.464085,25.99715,0.0,7.106516,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.9032509,0.9032509,0.01737211,51.9943,1,0.0,-21.67835,-1.756999,-21.67835
0.0,6.015027,12.23952,0.0,0.7303802,0.0,1.0,1.0,0.0,3.0,20.0,11.0,7.0,1.0,9.995394,9.995394,0.04083246,244.7904,1,0.0,0.0,0.0,0.0
0.0,9.01599,10.26627,0.0,2.769167,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0520222,0.0260111,0.0006334115,82.13018,1,0.5651257,-15.96894,-1.978487,-6.337905
0.0,3.285604,17.17461,0.0,1.620875,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0008731,0.00043655,6.354585e-06,137.3969,1,0.7717482,-8.220498,0.6456373,-1.973698
1.7567,7.144121,14.3191,0.0,3.991076,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,1.4e-05,1.4e-05,1.955431e-07,71.59548,1,0.138212,-8.539788,-3.536009,-8.080188
0.0,6.659323,14.77257,0.0,-0.1918704,0.0,1.0,1.0,0.0,3.0,16.0,10.0,4.0,1.0,4.001554,2.000777,0.01692983,236.3611,1,0.0,0.0,0.0,0.0
0.0,7.298858,13.47818,0.0,0.408613,0.0,1.0,1.0,0.0,3.0,16.0,10.0,10.0,1.0,3.999999,2.0,0.0185485,215.6509,1,0.0,0.0,0.0,0.0
6.4565,6.291391,15.72319,0.0,-1.21837,1.0,0.0,0.0,1.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,503.1421,1,0.0,-20.77165,-4.366608,-20.77165
5.4058,7.152807,11.81578,0.0,-1.156498,0.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,354.4734,1,0.0,-15.63262,-4.103413,-15.63262
0.0,8.571467,10.50651,0.0,2.888006,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,3.000012,3.000012,0.07138462,42.02603,1,0.5641221,-15.20697,-1.956216,-6.308042
5.442,5.363047,14.71496,0.0,-1.350566,0.0,0.0,0.0,1.0,3.0,80.0,0.0,0.0,0.0,0.0010211,0.0001276375,8.673999e-07,1177.196,1,0.0,-7.387165,-4.261826,-7.017565
0.0,10.11345,12.11009,0.0,9.32249,0.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,3.002025,3.002025,0.06197365,48.44034,1,0.1429344,-26.17971,-3.851463,-7.511094
0.0,11.81114,10.96781,0.0,6.122047,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,1.0,0.4829655,0.2414827,0.003669567,131.6138,1,0.0,0.0,0.0,0.0
4.3589,0.7919624,70.12236,0.0,-8.655286,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0011875,0.0011875,3.386937e-06,350.6118,1,0.1334258,-10.94533,-3.896449,-6.738193
2.1473,4.737642,15.14924,0.0,-1.098482,0.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,454.4773,1,0.0,-6.776128,-4.059555,-12.62999
0.0,6.865944,13.95581,0.0,3.598318,0.0,1.0,1.0,0.0,3.0,68.0,12.0,1.0,0.0,36.00003,9.000006,0.03793488,948.9954,1,0.06168867,-21.10136,-3.851693,-7.161903
0.0,2.461513,8.628332,0.0,1.110666,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.030292,3.030292,0.07024051,43.14166,1,0.5701235,-5.445053,-1.344028,-5.032853
0.0,7.740047,13.65354,0.0,1.644191,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.9997139,0.9997139,0.02440672,40.96061,1,0.1311452,-17.51086,-3.128286,-7.573722
0.0,6.643051,11.5909,0.0,0.7871977,0.0,1.0,1.0,0.0,3.0,30.0,8.0,4.0,0.0,6.001897,1.000316,0.01726037,347.7269,1,0.0,0.0,0.0,0.0
0.2098,5.896364,15.15523,0.0,-0.3780429,0.0,1.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,6.000196,3.000098,0.04948949,121.2418,1,0.4580893,-14.98628,-2.03443,-6.414768
0.0,9.844011,13.13355,0.0,2.632421,0.0,1.0,1.0,0.0,3.0,26.0,7.0,9.0,1.0,3.916425,3.916425,0.01146924,341.4722,1,0.0,0.0,0.0,0.0
5.5089,5.190751,13.70182,0.0,-1.451722,0.0,0.0,0.0,1.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0547,1,0.0,-7.340046,-4.176912,-14.60057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.0,4.046857,11.69256,0.0,0.7228853,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,0.05131468,58.4628,1,0.7759268,-4.961338,-1.04599,-4.549138
6.4486,6.489744,15.48113,0.0,-0.8617046,0.0,0.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,526.3585,1,0.000921756,-7.178742,-4.351016,-20.48973
5.8799,7.043613,14.52376,0.0,-0.08517187,0.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,1.0,1.69e-05,2.816667e-06,3.878702e-08,435.7127,1,0.09458647,-21.52637,-4.332399,-7.04707
0.0,11.18166,10.35953,0.0,9.359703,0.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.9999602,0.9999602,0.0241314,41.43813,1,0.008594786,-26.58829,-2.903795,-26.58829
0.0,4.899356,15.75718,0.0,-2.823323,0.0,0.0,1.0,0.0,3.0,16.0,0.0,0.0,0.0,1.997032,1.997032,0.007921121,252.1149,1,0.03409108,-6.096796,-3.722877,-5.750296
0.0,5.460373,24.09766,0.0,3.431599,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0030393,0.0030393,4.204142e-05,72.29299,1,1.28757,-16.81434,0.7685036,-4.480518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
