band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target
0.0,4.575789,28.9969,0.0,0.5898692,0.1171764,-13.03419,0.1171764,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1e-07,1e-07,3.448644e-09,-1.435852,28.9969,1
6.5645,0.8829751,26.34126,0.0,-6.128252,0.01145081,-9.1173,0.01145081,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1173,105.365,1
0.0,1.631521,14.25582,0.0,3.020798,1.037822,-8.090929,1.037822,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.24e-05,1.24e-05,4.349101e-07,-7.298673,28.51164,1
1.4023,4.254024,40.36337,0.0,-0.5010122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,161.4535,1
0.0,4.000664,18.59957,0.0,1.219607,0.09607747,-13.64324,0.09607747,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0006093,0.0006093,1.091961e-05,-6.947546,55.79871,1
0.0,11.3572,22.35759,0.0,5.049643,1.654705,-37.08263,1.654705,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,13.60627,13.60627,0.2028584,-9.318759,67.07277,1
3.9594,3.444398,6.752609,0.0,6.402377,1.468057,-7.660694,1.468057,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.660694,27.01044,1
0.0,4.721735,44.62975,0.0,3.368097,0.06873394,-1.404632,0.06873394,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.76e-05,3.76e-05,8.424874e-07,-1.404632,44.62975,1
0.0,15.31365,11.3364,0.0,6.868792,1.204402,-29.10383,1.204402,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0148569,0.0148569,0.0006552741,-5.818912,22.6728,1
4.3987,2.730179,31.00319,0.0,-1.335614,0.3976261,-6.062659,0.2841105,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.815993,93.00957,1
0.0,4.446933,15.76962,0.0,4.066836,0.9072271,-5.970233,0.6518171,0.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,1.0,0.001661,0.00041525,6.583067e-06,-5.699483,252.314,1
0.0,15.12338,11.47902,0.0,7.333658,1.153378,-29.15486,1.153378,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.000117,5.85e-05,2.548126e-06,-5.869936,45.91609,1
0.0,6.63146,19.77184,0.0,5.507674,0.5956268,-13.71593,0.5956268,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2e-07,2e-07,1.01154e-08,-2.900285,19.77184,1
0.0,8.107228,17.06509,0.0,2.752929,0.3705037,-19.13202,0.3705037,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0014361,0.0014361,2.103856e-05,-5.508281,68.26037,1
0.0,14.02375,23.92244,0.0,6.565928,0.2441617,-5.009219,-0.05340727,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0009827,0.00049135,1.026964e-05,-5.009219,95.68978,1
0.5918,12.61358,9.790029,0.0,7.887399,0.2535669,-22.99484,0.2535669,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.07e-05,5.35e-06,1.821581e-07,-7.087141,58.74017,1
0.0,4.811233,11.34625,0.0,3.798614,0.4997346,-11.04329,-0.02844825,0.0,1.0,1.0,0.0,2.0,16.0,8.0,1.0,0.0,8.060597,1.007575,0.04440123,-7.921405,181.5399,1
0.0,13.12364,25.85627,0.0,6.007172,0.008360557,-4.855961,-0.2719237,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,1e-07,2.5e-08,3.222945e-10,-56.44105,310.2753,1
0.0,6.672956,9.016043,0.0,8.12667,0.4556904,-12.42493,0.4556904,0.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0005205,0.000130125,3.608152e-06,-7.367008,144.2567,1
0.0,14.2226,23.48405,0.0,6.295334,0.2722301,-53.92605,-0.03962143,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,3.41e-05,1.705e-05,3.630124e-07,-4.849805,93.93619,1
0.0,12.48437,27.18025,0.0,6.138902,0.050029,-4.814292,-0.2302553,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,1.0,1e-07,3.333333e-08,4.087935e-10,-56.39938,244.6223,1
0.0,7.562997,8.979458,0.0,8.394688,0.0,-13.68075,-0.3083383,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,2e-07,1e-07,3.712176e-09,-13.68075,53.87675,1
6.739,1.04337,22.29187,0.0,-6.241835,0.002401956,-9.126349,0.002401956,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.126349,89.16749,1
0.0,4.525463,22.09423,0.0,0.1311768,1.187594,-14.85701,1.187594,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.1332614,0.0666307,0.001507876,-5.390094,88.37691,1
1.4357,3.567285,29.22235,0.0,1.640173,0.6283472,-4.260201,0.4921285,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0017085,0.000427125,2.923276e-06,-4.115801,584.447,1
7.0262,1.003619,23.1748,0.0,0.9804068,0.001677922,-9.127073,0.001677922,1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.127073,370.7969,1
0.0,8.311512,9.372967,0.0,8.433656,0.0,-14.93012,-0.3524967,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.93012,93.72967,1
0.0,10.53598,11.72054,0.0,5.298464,0.6879642,-22.56044,0.6879642,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0001472,7.36e-05,2.093192e-06,-6.652744,70.32322,1
0.0,10.56493,11.68841,0.0,5.364113,0.6823143,-22.56609,0.6823143,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,1e-07,1e-07,2.851827e-09,-6.658393,35.06524,1
0.0,19.31873,16.88673,0.0,6.119092,0.102996,-50.8932,0.06453857,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.72e-05,2.72e-05,4.026829e-07,-4.555701,67.54694,1
7.3764,0.9462436,24.58,0.0,-6.90739,0.0,-9.128751,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.128751,196.64,1
