band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.2552,3.148108,31.19526,0.0,1.28458,0.8536237,-4.938589,0.58573,0.169,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0001056,0.0001056,1.128377e-06,-4.938589,1.295,93.58578,1
0.0,11.3572,22.35759,0.0,5.049643,1.654705,-37.08263,1.654705,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,13.60627,13.60627,0.2028584,-9.318759,0.0,67.07277,1
1.6294,2.348192,20.49173,0.0,4.369781,0.0,-8.604336,-0.7372488,0.259,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.604336,0.518,40.98346,1
1.9533,2.347986,20.49353,0.0,4.479934,0.004434355,-8.599902,-0.7328144,0.261,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.599902,0.198,81.97412,1
0.0,3.058516,35.01818,0.0,2.077256,0.4790942,-4.090336,0.166201,0.689,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0003581,0.0003581,3.408705e-06,-4.137669,-7.414,105.0545,1
0.0,2.886298,25.86394,0.0,3.010822,0.7194539,-10.67903,0.7194539,1.458,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8532308,0.8532308,0.0329892,-5.613015,-4.942,25.86394,1
1.3309,2.113073,22.07073,0.0,4.156917,0.1074774,-8.666287,0.1074774,0.252,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.666287,0.011,507.6269,1
0.0,18.34786,21.38415,0.0,14.36298,0.2168953,-78.95364,0.2168953,0.34,0.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,1.982689,1.982689,0.02317942,-10.63033,16.91,85.53659,1
0.0,13.13146,22.76472,0.0,11.75007,0.0,-59.46296,-0.1379246,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,3e-07,3e-07,3.294571e-09,-59.46296,0.0,91.0589,1
0.0,12.36299,24.08988,0.0,10.73227,0.1994692,-58.48487,0.1994692,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0280616,0.0280616,0.0002912177,-7.336599,0.0,96.35953,1
0.0,4.61526,13.49124,0.0,3.815164,1.122815,-11.26951,0.4911777,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0001977,0.0001977,2.930791e-06,-5.735871,0.0,67.45619,1
0.9216,10.71783,13.09171,0.0,4.179001,0.0186908,-26.52229,-1.955256,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,-26.52229,0.0,183.284,1
1.3094,2.033232,22.93741,0.0,3.881036,0.09184995,-8.681915,0.09184995,0.248,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.681915,0.012,1055.121,1
0.0,13.68657,16.37152,0.0,9.228064,0.0,-38.25457,-0.938393,0.31,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0041535,0.0041535,6.34257e-05,-38.25457,0.024,65.48607,1
0.4398,2.193771,21.25886,0.0,5.211933,0.1166332,-8.657131,0.1166332,0.259,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.657131,0.294,85.03542,1
0.0,13.45292,15.12321,0.0,12.49177,0.0,-44.82013,-1.827745,0.324,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.45e-05,2.45e-05,8.10013e-07,-44.82013,1.036,30.24643,1
0.0,5.916497,17.17234,0.0,-0.9741939,0.4274872,-19.49517,-2.508747,0.0,0.0,1.0,1.0,0.0,3.0,33.0,24.0,9.0,1.0,13.99849,13.99849,0.02470232,-8.239179,0.0,566.6873,1
0.0,13.92214,11.47986,0.0,8.053156,0.0,-29.12256,-1.982478,0.247,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,4e-07,4e-07,1.742182e-08,-29.12256,0.43,22.95972,1
0.0,6.117735,12.54656,0.0,6.770488,0.1367129,-7.000051,-0.1048448,0.339,0.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,1.0,6.955966,3.477983,0.09240207,-7.000051,0.085,75.27933,1
0.0,11.71084,32.90185,0.0,7.964631,0.1515267,-73.32374,0.1515267,2.026,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.32374,-5.364,32.90185,1
0.0,13.66,13.12837,0.0,6.894296,0.06713862,-31.41486,-1.701732,0.311,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,-31.41486,0.853,91.89859,1
0.0,15.21497,25.2149,0.0,13.15197,0.02963252,-76.82639,0.02963252,0.275,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.68e-05,2.68e-05,1.062864e-06,-76.82639,2.904,25.2149,1
1.0064,11.71048,11.98198,0.0,5.360166,0.0,-26.54098,-1.973946,0.0,1.0,0.0,0.0,1.0,2.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,-26.54098,0.0,335.4955,1
0.0,18.82272,18.00321,0.0,9.374265,0.0,-58.94115,-1.111355,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,1e-07,5e-08,6.943205e-10,-58.94115,0.0,144.0257,1
0.0,2.72005,16.47172,0.0,7.058804,0.0,-6.732098,0.0,0.597,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.732098,4.721,16.47172,1
4.2444,1.202423,21.33315,0.0,-1.674204,0.03594771,-8.573892,-0.3973549,0.507,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0008653,0.00043265,2.897235e-06,-8.367606,0.082,298.6641,1
3.2687,3.421648,9.945875,0.0,8.036715,0.1152902,-9.494806,-1.564382,0.251,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.001155,0.0005775,2.903214e-05,-7.329642,0.915,39.7835,1
0.0,2.780137,16.11572,0.0,7.849192,0.1034003,-6.628698,0.1034003,0.221,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.628698,-5.032,16.11572,1
0.0,13.46205,15.25369,0.0,5.935371,0.0,-34.55168,-1.407824,0.199,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-34.55168,-3.214,91.52213,1
0.0,3.097637,8.526578,0.0,9.220141,0.0,-7.221912,-0.06909048,0.256,0.0,0.0,1.0,1.0,2.0,73.0,0.0,0.0,1.0,4e-07,4e-07,6.42632e-10,-7.221912,8.732,622.4402,1
0.0,3.192131,8.427815,0.0,9.750313,0.01683494,-7.192015,-0.05041312,0.197,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1e-07,1e-07,3.955157e-09,-7.192015,2.22,25.28344,1
1.0259,12.97489,10.81433,0.0,6.829726,0.06918368,-26.4718,-1.904763,0.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,9.23e-05,4.615e-05,6.096406e-07,-10.62586,0.0,151.4007,1
0.0,13.72993,26.06448,0.0,10.16557,0.1633228,-66.25895,0.1633228,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0030202,0.0030202,2.896854e-05,-8.091635,0.0,104.2579,1
0.0,2.142907,21.76346,0.0,5.231188,0.4151193,-8.358645,0.4151193,0.318,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0010976,0.0001372,6.304145e-06,-5.010199,11.527,174.1077,1
0.6927,12.13049,12.13948,0.0,9.786722,0.0,-34.37613,-1.642954,0.338,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.37613,1.664,36.41844,1
1.0917,11.60086,12.0952,0.0,5.995653,0.07350542,-26.46748,-1.900441,0.359,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,1.33e-05,1.33e-05,1.570871e-07,-10.62154,9.204,84.66642,1
0.2957,9.868236,16.02788,0.0,3.712349,0.641422,-9.89038,-0.2974531,0.411,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.000137,0.000137,4.273802e-06,-9.89038,3.907,32.05577,1
0.0,11.13374,13.02781,0.0,8.623606,0.6474366,-9.379922,0.5363254,0.282,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0019984,0.0019984,5.113166e-05,-9.379922,0.925,39.08342,1
