target,band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0481,3.960386,17.97262,0.0,-0.6999753,0.3225989,-8.461563,-1.903754,1.0,1.0,0.0,0.0,3.0,100.0,8.0,1.0,0.0,0.7267343,0.1816836,0.0004043565,-7.326523,1797.262
1,0.0,13.61727,18.63296,0.0,11.4229,0.187588,-56.36196,-2.163895,0.0,1.0,1.0,0.0,2.0,10.0,6.0,1.0,1.0,36.24638,18.12319,0.1945283,-12.40623,186.3296
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,6.281716,14.87593,0.0,4.172822,0.5518823,-7.440076,-2.121536,0.0,0.0,1.0,0.0,4.0,14.0,0.0,0.0,0.0,0.024603,0.024603,0.0001181342,-6.998433,208.2631
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,4.030868,9.545334,0.0,4.429376,0.0,-8.29832,-1.787224,0.0,1.0,1.0,1.0,3.0,10.0,2.0,1.0,0.0,8.000001,4.0,0.08381058,-9.834196,95.45334
1,0.0,14.8978,18.79748,0.0,11.55041,0.3377125,-10.73383,-1.423399,0.0,1.0,1.0,0.0,2.0,16.0,4.0,11.0,1.0,4.170466,4.170466,0.01386644,-10.51914,300.7597
1,0.0,6.263958,14.71114,0.0,2.28908,0.02272278,-7.485211,-1.539651,0.0,0.0,1.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0130367,0.00651835,4.923214e-05,-7.027211,264.8006
1,0.0552,4.541672,16.68836,0.0,-1.499528,0.8173316,-7.330001,-1.04268,0.0,1.0,0.0,0.0,5.0,140.0,20.0,16.0,0.0,32.0094,16.0047,0.01370049,-6.544915,2336.37
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,4.980368,11.15023,0.0,3.893318,0.1095042,-7.598526,-1.484494,0.0,1.0,1.0,0.0,3.0,70.0,70.0,19.0,1.0,122.0,122.0,0.1563068,-6.202455,780.5162
1,0.0,6.141461,9.301024,0.0,4.048796,0.01047993,-7.164443,-1.2774,0.0,1.0,1.0,0.0,2.0,14.0,6.0,2.0,0.0,6.0,3.0,0.04607787,-10.45463,130.2143
1,0.0894,5.104741,24.52306,0.0,6.506688,0.09162598,-16.77057,-0.3799742,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.77057,49.04613
1,6.3098,1.744821,13.96122,0.0,-3.624845,0.005399367,-8.138959,-1.761228,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.59054,83.76733
1,0.6309,5.708337,11.84074,0.0,0.8605571,0.00806893,-9.075003,-1.639376,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.075003,23.68147
1,0.6529,2.531212,13.58454,0.0,-0.4070411,0.05416939,-8.281079,-1.81105,0.0,1.0,0.0,0.0,3.0,28.0,4.0,2.0,1.0,15.99925,7.999625,0.04206265,-7.60115,380.3671
1,3.2472,4.888101499999999,17.454375,0.0,-2.966434,0.0,-7.731572,-1.524288,0.0,0.0,0.0,0.5,2.0,7.5,0.0,0.0,0.0,0.0001564,0.0001564,1.626215e-06,-7.181972,126.456615
1,0.3939,2.551425,13.47692,0.0,-0.2625899,0.05283413,-8.282414,-1.812385,1.0,1.0,0.0,0.0,3.0,28.0,4.0,4.0,1.0,16.00069,8.000344,0.04240236,-7.602485,377.3537
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,6.550472,14.52141,0.0,2.198717,0.03213171,-7.543129,-1.620942,0.0,0.0,1.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0012696,0.0006348,4.857196e-06,-17.68061,261.3854
1,0.0,6.575931,14.46519,0.0,2.296659,0.03766377,-7.537597,-1.61541,0.0,0.0,1.0,0.0,3.0,18.0,0.0,0.0,0.0,1.4e-06,7e-07,5.376893e-09,-17.67507,260.3734
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0201,4.919029,11.16564,0.0,4.088207,0.07539167,-8.027224,-1.56735,0.0,1.0,0.0,0.0,2.0,28.0,28.0,7.0,1.0,55.99992,13.99998,0.1791206,-6.667795,312.6381
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,4.422842,16.29391,0.0,1.342682,0.06755999,-7.967984,-1.762181,0.0,0.0,1.0,0.0,3.0,50.0,0.0,0.0,1.0,0.0034165,0.00170825,4.193592e-06,-7.473344,814.6954
1,0.0,6.183225,8.721098,0.0,8.227935,0.1079618,-12.85373,-1.244566,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,6.8e-06,3.4e-06,1.949296e-07,-9.76376,34.88439
1,0.0,4.902468,11.20336,0.0,2.219504,0.01726441,-8.085351,-1.625477,0.0,1.0,1.0,0.0,2.0,14.0,6.0,6.0,0.0,1.09e-05,5.45e-06,6.949443e-08,-6.725922,156.8471
1,0.7227,5.704218,11.84929,0.0,0.8923141,0.0,-9.083072,-1.647445,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.083072,47.39715
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.957092,17.18815,0.0,1.042926,0.9679572,-7.730765,-1.754356,0.0,0.0,1.0,0.0,3.0,33.0,0.0,0.0,1.0,0.5551933,0.5551933,0.0009788161,-5.981165,567.209
1,0.0,5.108711,10.75108,0.0,4.155259,0.0,-8.102615,-1.642741,0.0,1.0,1.0,1.0,2.0,14.0,14.0,7.0,0.0,28.0,14.0,0.1860279,-11.14522,150.5151
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9257,4.858082,11.30572,0.0,3.768861,0.05936087,-8.043255,-1.58338,0.0,1.0,0.0,0.0,2.0,56.0,56.0,5.0,1.0,112.0,14.0,0.1769015,-6.683826,633.1205
1,0.032,4.914841,11.17516,0.0,4.063934,0.03743684,-8.065179,-1.605304,0.0,1.0,0.0,0.0,2.0,28.0,12.0,4.0,1.0,1e-07,2.5e-08,3.195864e-10,-6.70575,312.9045
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0019,4.912613,11.18023,0.0,4.27604,0.07850629,-8.024109,-1.564235,0.0,1.0,0.0,0.0,2.0,28.0,14.0,7.0,1.0,56.00002,14.0,0.1788873,-6.664681,313.0464
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,8.138718,10.90671,0.0,7.915392,0.04256885,-18.13564,-1.204222,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-18.13564,43.62686
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,5.494413,10.22387,0.0,3.263782,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,286.2683
1,0.8622,4.103434,13.52889,0.0,1.840423,0.2199689,-7.893633,-1.402351,0.0,1.0,0.0,0.0,2.0,48.0,48.0,48.0,1.0,96.00041,32.00014,0.1478325,-6.520196,649.3866
1,6.4419,1.695609,14.36642,0.0,-4.188654,0.009146132,-8.135212,-1.757481,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0140008,0.0070004,0.000162425,-8.586793,86.19853
