,target,pred,category,bcountry,nat,movement,out,embedding,lstm,hidden
0,0.0,[0.1889208],"['http://dbpedia.org/resource/Category:20th-century_German_painters', 'http://dbpedia.org/resource/Category:20th-century_German_printmakers', 'http://dbpedia.org/resource/Category:20th-century_German_male_artists', 'http://dbpedia.org/resource/Category:1959_deaths', 'http://dbpedia.org/resource/Category:German_emigrants_to_the_United_States']",['unknown'],['unknown'],['unknown'],0,1,9,0
1,1.0,[0.8810037],"['http://dbpedia.org/resource/Category:People_from_the_Russian_Empire_of_French_descent', 'http://dbpedia.org/resource/Category:Russian_male_painters', 'http://dbpedia.org/resource/Category:19th-century_painters_from_the_Russian_Empire', 'http://dbpedia.org/resource/Category:Awarded_with_a_large_gold_medal_of_the_Academy_of_Arts', 'http://dbpedia.org/resource/Category:1831_births', 'http://dbpedia.org/resource/Category:People_from_Voronezhsky_Uyezd', 'http://dbpedia.org/resource/Category:Peredvizhniki', 'http://dbpedia.org/resource/Category:Taras_Shevchenko_National_University_of_Kyiv_alumni', 'http://dbpedia.org/resource/Category:People_from_Voronezh', 'http://dbpedia.org/resource/Category:1894_deaths']",['http://dbpedia.org/resource/Russia'],['unknown'],"['http://dbpedia.org/resource/Peredvizhniki', 'http://dbpedia.org/resource/Russian_symbolism']",0,24,21,24
2,1.0,[0.8825389],"['http://dbpedia.org/resource/Category:20th-century_Swiss_male_artists', 'http://dbpedia.org/resource/Category:Swiss_male_painters', 'http://dbpedia.org/resource/Category:19th-century_Swiss_painters', 'http://dbpedia.org/resource/Category:Swiss_engravers', 'http://dbpedia.org/resource/Category:20th-century_Swiss_painters', 'http://dbpedia.org/resource/Category:20th-century_engravers']",['http://dbpedia.org/resource/Switzerland'],['Swiss/French'],['unknown'],0,20,10,24
3,1.0,[0.26196408],['http://dbpedia.org/resource/Category:Italian_male_painters'],['unknown'],['unknown'],['unknown'],0,21,0,0
4,0.0,[0.21098559],"['http://dbpedia.org/resource/Category:19th-century_Italian_male_artists', 'http://dbpedia.org/resource/Category:Italian_male_painters']",['unknown'],['unknown'],['unknown'],0,4,24,0
5,1.0,[0.67977047],"['http://dbpedia.org/resource/Category:1858_births', 'http://dbpedia.org/resource/Category:Artists_from_New_Jersey', 'http://dbpedia.org/resource/Category:20th-century_American_printmakers', 'http://dbpedia.org/resource/Category:19th-century_American_painters', 'http://dbpedia.org/resource/Category:Académie_Julian_alumni', 'http://dbpedia.org/resource/Category:People_from_Salem,_New_Jersey', 'http://dbpedia.org/resource/Category:American_women_painters']",['unknown'],['American'],['unknown'],0,1,22,14
6,0.0,[0.5776363],"['http://dbpedia.org/resource/Category:Scottish_male_painters', 'http://dbpedia.org/resource/Category:Scottish_comics_artists', 'http://dbpedia.org/resource/Category:Alcohol-related_deaths_in_England']",['http://dbpedia.org/resource/United_Kingdom'],['unknown'],['unknown'],0,4,24,9
7,0.0,[0.80477834],"['http://dbpedia.org/resource/Category:Spanish_Baroque_painters', 'http://dbpedia.org/resource/Category:People_from_the_Province_of_Albacete', 'http://dbpedia.org/resource/Category:1580_births', 'http://dbpedia.org/resource/Category:17th-century_Spanish_painters']",['unknown'],['unknown'],['unknown'],0,2,22,24
8,1.0,[0.5023499],"['http://dbpedia.org/resource/Category:1872_births', 'http://dbpedia.org/resource/Category:Latvian_emigrants_to_Germany', 'http://dbpedia.org/resource/Category:Recipients_of_the_Order_of_Polonia_Restituta', 'http://dbpedia.org/resource/Category:People_from_Cēsis_Municipality', 'http://dbpedia.org/resource/Category:Rectors_of_universities_in_Latvia', 'http://dbpedia.org/resource/Category:Burials_at_Forest_Cemetery,_Riga', 'http://dbpedia.org/resource/Category:People_from_Kreis_Riga']",['http://dbpedia.org/resource/Latvia'],['Latvian'],['http://dbpedia.org/resource/Impressionism'],0,4,24,4
9,1.0,[0.774556],"['http://dbpedia.org/resource/Category:1897_deaths', 'http://dbpedia.org/resource/Category:Italian_male_non-fiction_writers', 'http://dbpedia.org/resource/Category:1819_births', 'http://dbpedia.org/resource/Category:Male_journalists']",['unknown'],['unknown'],['unknown'],0,22,6,24
