,layer,epoch,count,change,distance
0,bert.transformer.layer.2.ffn,1,128,4.665523529052734,0.9124854803085327
1,bert.transformer.layer.2.ffn,1,128,3.8261523246765137,0.446956068277359
2,bert.transformer.layer.2.ffn,1,128,2.6266567707061768,0.15535621345043182
3,bert.transformer.layer.2.ffn,1,128,1.7823281288146973,0.08496619760990143
4,bert.transformer.layer.2.ffn,1,128,1.1988255977630615,0.06608372926712036
5,bert.transformer.layer.2.ffn,1,128,0.8774710893630981,0.06545640528202057
6,bert.transformer.layer.2.ffn,1,128,0.6281577348709106,0.06196315586566925
7,bert.transformer.layer.2.ffn,1,128,0.44631803035736084,0.06095980107784271
8,bert.transformer.layer.2.ffn,1,128,0.3354567587375641,0.05713921785354614
9,bert.transformer.layer.2.ffn,1,128,0.26814576983451843,0.06069976091384888
10,bert.transformer.layer.2.ffn,1,128,0.22099529206752777,0.0603313185274601
11,bert.transformer.layer.2.ffn,1,128,0.1922149956226349,0.06203797832131386
12,bert.transformer.layer.2.ffn,1,128,0.15946251153945923,0.06091805174946785
13,bert.transformer.layer.2.ffn,1,128,0.13997094333171844,0.06237143650650978
14,bert.transformer.layer.2.ffn,1,128,0.1250138133764267,0.05822867155075073
15,bert.transformer.layer.2.ffn,1,128,0.11213218420743942,0.05711110308766365
16,bert.transformer.layer.2.ffn,1,128,0.10506221652030945,0.056012023240327835
17,bert.transformer.layer.2.ffn,1,128,0.09968820214271545,0.055223386734724045
18,bert.transformer.layer.2.ffn,1,128,0.08814994245767593,0.056356433779001236
19,bert.transformer.layer.2.ffn,1,128,0.07627379894256592,0.05090710520744324
20,bert.transformer.layer.2.ffn,1,128,0.07547084242105484,0.05552774667739868
21,bert.transformer.layer.2.ffn,1,128,0.05858304724097252,0.058448806405067444
22,bert.transformer.layer.2.ffn,1,128,0.06963498145341873,0.055265165865421295
23,bert.transformer.layer.2.ffn,1,128,0.05367908254265785,0.054317694157361984
24,bert.transformer.layer.2.ffn,1,128,0.057675015181303024,0.052840154618024826
25,bert.transformer.layer.2.ffn,1,128,0.05596774443984032,0.054952383041381836
26,bert.transformer.layer.2.ffn,1,128,0.04778088629245758,0.05469479784369469
27,bert.transformer.layer.2.ffn,1,128,0.042036451399326324,0.052474405616521835
28,bert.transformer.layer.2.ffn,1,128,0.03692460060119629,0.05349678173661232
29,bert.transformer.layer.2.ffn,1,128,0.030005082488059998,0.054881684482097626
30,bert.transformer.layer.2.ffn,1,128,0.03453914076089859,0.05433569848537445
31,bert.transformer.layer.2.ffn,1,128,0.02382759004831314,0.05280260741710663
32,bert.transformer.layer.2.ffn,1,128,0.022243909537792206,0.054259493947029114
33,bert.transformer.layer.2.ffn,1,128,0.020423883572220802,0.056516990065574646
34,bert.transformer.layer.2.ffn,1,128,0.01782413199543953,0.05433543771505356
35,bert.transformer.layer.2.ffn,1,128,0.015142207965254784,0.055868469178676605
36,bert.transformer.layer.2.ffn,1,128,0.01064660307019949,0.05580408498644829
37,bert.transformer.layer.2.ffn,1,128,0.004958902020007372,0.05495169013738632
38,bert.transformer.layer.2.ffn,2,128,0.003031069878488779,0.05648498237133026
39,bert.transformer.layer.2.ffn,2,128,5.196177153266035e-05,0.05233841389417648
40,bert.transformer.layer.2.ffn,2,128,3.94939816033002e-05,0.05372607707977295
41,bert.transformer.layer.2.ffn,2,128,3.59612749889493e-05,0.054207608103752136
42,bert.transformer.layer.2.ffn,2,128,3.939035377698019e-05,0.0565403588116169
43,bert.transformer.layer.2.ffn,2,128,3.6202942283125594e-05,0.05174528807401657
44,bert.transformer.layer.2.ffn,2,128,3.889514846378006e-05,0.05371493101119995
45,bert.transformer.layer.2.ffn,2,128,3.873135574394837e-05,0.0521051362156868
46,bert.transformer.layer.2.ffn,2,128,3.668174031190574e-05,0.05231044068932533
47,bert.transformer.layer.2.ffn,2,128,3.596849273890257e-05,0.05594223365187645
48,bert.transformer.layer.2.ffn,2,128,4.045300011057407e-05,0.05000098794698715
49,bert.transformer.layer.2.ffn,2,128,3.906762503902428e-05,0.05587024241685867
50,bert.transformer.layer.2.ffn,2,128,3.654764805105515e-05,0.05290966480970383
51,bert.transformer.layer.2.ffn,2,128,3.802806531894021e-05,0.05343637987971306
52,bert.transformer.layer.2.ffn,2,128,4.0271144825965166e-05,0.053974539041519165
53,bert.transformer.layer.2.ffn,2,128,3.821501013590023e-05,0.056337639689445496
54,bert.transformer.layer.2.ffn,2,128,3.998442480224185e-05,0.05455132946372032
55,bert.transformer.layer.2.ffn,2,128,4.028248440590687e-05,0.05071142315864563
56,bert.transformer.layer.2.ffn,2,128,3.813099465332925e-05,0.053793035447597504
57,bert.transformer.layer.2.ffn,2,128,3.602559809223749e-05,0.052102576941251755
58,bert.transformer.layer.2.ffn,2,128,3.99508498958312e-05,0.052970267832279205
